タイトル,あらすじ,ジャンル
ソードアート・オンラインII,《SAO》事件から1年。VRMMO《ガンゲイル・オンライン》では、謎のアバターに撃たれたプレイヤーが現実でも《死》に至るという怪現象が発生していた…。,主人公最強アニメ
東京喰種トーキョーグール,"人を喰らう怪人""喰種 (グール)""がのさばる東京。平凡な大学生・金木研は、ある少女と出会って生活が一変。人間と喰種の狭間でもがき苦しむ青年の未来は?",主人公最強アニメ
七つの大罪,それは、罪なのか——罪（シン）の王道ファンタジー、堂々開幕!!,主人公最強アニメ
ハイキュー!!,"想いをのせてボールを""繋ぐ""、それがバレーボール。少年たちの躍動感あふれる激闘を見逃すな! 小柄な少年と仲間が青春を燃やす、次世代王道スポーツアニメ。",スポーツアニメ
テラフォーマーズ,火星を人類が住める星に変える計画の誤算。それは、ゴキブリを人間大へ進化させたこと。火星で始まる人類の存亡をかけた戦い、駆除されるのは害虫か、人類か。,SF・ファンタジーアニメ
Fate/stay night: Unlimited Blade Works,手にした者の願いを叶えるという聖杯を実現させる為、聖杯に選ばれた七人の魔術師に、七騎の使い魔を与える。遠坂凛は、亡き父への想いと共に、聖杯戦争に参加する。,ビデオゲームが原作のアニメ
月刊少女野崎くん,梅太郎に恋をしてしまった千代。実はなんと、彼が人気の少女マンガ家だということが判明! 当の梅太郎は恋愛マンガの創作のためネタを探していた。,コメディ・ギャグアニメ
四月は君の嘘,天才と言われながら、少年は母の死を境に全くピアノを弾けなくなっていた。だが天真爛漫なバイオリニストの少女と出会い、彼の心は少しづつ変化を見せ始める。,恋愛アニメ
聖闘士星矢 LEGEND of SANCTUARY,不思議な力を持つ少女は聖闘士の少年に救われ、自らの運命を知る。その行く手には、黄金聖闘士との死闘が待っていた。「聖闘士星矢」シリーズ劇場公開6作目。,国内SF・ファンタジー
ノーゲーム・ノーライフ,無敗の天才ゲーマー兄妹の空と白。クソゲーじみたリアルを離れ、異世界で本領発揮。全てがゲームで決まり人類は滅亡寸前の世界で、空前絶後の頭脳バトルに挑む!,主人公最強アニメ
SHIROBAKO,学生時代に志を共にした5人の仲間たち。皆でいつか再びアニメーションを作り上げることを夢見て上京し、日々起こるトラブルや葛藤の先に希望を見出していく。,アニメ
魔法科高校の劣等生,"名門魔法科高校に入学した達也と深雪の兄妹。将来を期待されるエリート""一科生""の深雪と、補欠である""二科生""の達也の波乱に満ちた学校生活を描くアニメ。",主人公最強アニメ
劇場版「進撃の巨人」前編〜紅蓮の弓矢〜,巨人の餌と化した人類は、その侵略に怯え壁内の世界で暮らしていたが、その壁を越える超大型巨人が出現する。10才の少年・エレンは、仲間を率いて戦いを挑む。,国内SF・ファンタジー
アカメが斬る!,少年剣士・タツミは、圧政に苦しむ村を離れ、一旗あげようと上京。だが絶句するほど腐敗した帝都の姿を目の当たりにし、悪を切り刻む闇の殺し屋集団の一員となる。,SF・ファンタジーアニメ
プリパラ,アイドルを夢見る女の子のあこがれの場所、それがプリパラ! 明るく元気な女の子、らぁらは、いきなりライブに出ることに! まさかのプリパラデビュー!?,TVアニメ
ブラック・ブレット,"寄生生物の出現により、""バラニウム""で作られた巨大な壁に囲まれたエリアで人類が暮らし始めて10年後。超人的な力を持つ幼馴染2人が世界を救うために戦う。",主人公最強アニメ
アップルシード アルファ,世界大戦後の荒廃したニューヨークで、女性隊員と相棒のサイボーグは戦いの日々を送る。理想都市オリュンポスでの安息を夢見る2人の前に、謎の少女が現れる。,国内SF・ファンタジー
ニセコイ,極道一家「集英組」のひとり息子だが、ごく普通の高校生･一条楽。転校生の美少女･桐崎千棘。とある事情から二人は恋人を演じることに。「偽恋物語」の行く末やいかに!?,コメディ・ギャグアニメ
LUPIN THE IIIRD 次元大介の墓標,お宝を盗み出したルパンと次元を襲う銃弾。なんと、次元は殺し屋・ヤエル奥崎の標的になっていた。対決する2人のガンマン。撃たれたのは...?,国内アクション・アドベンチャー
ご注文はうさぎですか?,高校進学のため新しい街にやってきたココア。なにもかもがかわいい喫茶ラビットハウスに住み込みで働きながら、個性的な友達たちとの新生活をスタートさせる。,コメディ・ギャグアニメ
映画 妖怪ウォッチ　誕生の秘密だニャン!,ある夜、寝ていたケータの腕から光を放ち突然消えた妖怪ウォッチ。その行方を追って、向かった先は...!? 爆発的な人気を誇るゲームソフトの劇場版アニメ。,ビデオゲームが原作のアニメ
しまじろうとくじらのうた,怪我をした赤ちゃんクジラを助けたしまじろう。遠く離れたお母さんのところに送り届けるため、海の世界で大冒険を繰り広げる。,キッズ音楽
オオカミ少女と黒王子,彼氏のいないエリカは友達と話を合わせるため、偶然見かけたイケメンが彼氏だと嘘をつく。でも実はそのイケメン、同じ学校に通うドS男子だったことが発覚した。,コメディ・ギャグアニメ
グリザイアの果実,女子学生5人しか在籍していない美浜学園へ転入してきた風見雄二。日々親交を深めていく個性的な6人だったが、少女たちは、それぞれ暗い過去を胸に秘めていた。,ビデオゲームが原作のアニメ
ベイビーステップ,勉強ばかりしてきた真面目な優等生が、実証とデータ分析を武器に、テニスをゼロから学んで行く。気が付くと、彼は試合を制するようになっていた!,スポーツアニメ
ディーふらぐ!,府上学園でも有名な不良の風間堅次は、ひょんなことからゲーム製作部に入部することになる。強烈なオタク女子部員たちに振り回される受難の日々がスタート!,コメディ・ギャグアニメ
ガールズ&パンツァー これが本当のアンツィオ戦です!,大洗女子学園とアンツィオ高校の戦いの裏にあった知られざるエピソード。そこには敵の秘密兵器の正体を暴くため、アンツィオ高校に潜入する優花里がいた。,国内アクション・アドベンチャー
六畳間の侵略者!?,一人暮らしをすることになった高校生・孝太郎が見つけたのは六畳一間の格安物件。引越し後、このいわくつきの部屋を狙うかわいい侵略者たちが次々と現れる。,コメディ・ギャグアニメ
ふうせんいぬティニー,黄色いふうせんをつけてもらった小さな子犬のティニー。ぷうかぷうかと風に飛ばされ、雲の上へ行くと、そこにはとっても楽しいふしぎな世界が広がっていたんだ。,キッズTV番組
映画 ハピネスチャージプリキュア! 人形の国のバレリーナ,"愛乃めぐみたちが保育園で人形劇を披露していると、人形がしゃべり出す。バレリーナ人形に王国を救ってほしいと頼まれ、人形たちの楽園""ドール王国""を訪れる。",アニメ
ゆるゆり　なちゅやちゅみ!,七森中ごらく部、キャンプに出発! せっかくの夏休みなんだから、思いっきり楽しまないと! 生徒会のみんなも誘って、楽しい思い出いっぱい作っちゃおう!,コメディ・ギャグアニメ
映画 プリキュアオールスターズ NewStage3 永遠のともだち,新しいプリキュアのめぐみとひめを探して、マナたちのもとへ妖精学校のグレルとエンエンがやってくる。ところが、子供たちが眠り続ける謎の事件が発生し...。,アニメ
進撃の巨人,巨人がすべてを支配する世界。その侵略を防ぐ巨大な壁を築いた人類は、壁内での生活に甘んじていたが、10才のエレン・イェーガーは、壁外の世界を夢見ていた。,SF・ファンタジーアニメ
キルラキル,父の死の謎を追い転校してきた少女・纏流子。転校した本能字学園に巻き起こる波乱は、やがて全てを巻き込んでいく！,コメディ・ギャグアニメ
キャプテンハーロック ～Space Pirate Captain Harlock～,大戦中の英雄だった広域指名手配犯、宇宙海賊キャプテンハーロック。地球に隠された真実を闇に葬ろうとする政府に反旗を翻し、人類の未来を切り開く戦いに挑む!,日本アカデミー賞受賞映画
弱虫ペダル,アニメ好きのおとなしい男の子が、自転車競技部に入部。チームメイトに励まされ、困難に打ち勝ち、自転車レーサーとして成長していく。,スポーツアニメ
攻殻機動隊ARISE,A.D. 2027。陸軍所属のサイボーグ、草薙素子が出会ったのは、ある事件を追う1人の男。のちに公安9課を構成する精鋭たちの、知られざる物語が始まる。,国内SF・ファンタジー
はたらく魔王さま！,勇者に追い詰められ、撤退を余儀なくされた魔王と側近。降り立ったのは、現代の東京。魔力を失い人間となった今、再起を誓って六畳一間でのバイト生活が始まる。,コメディ・ギャグアニメ
ドラゴンボールZ 神と神,"はかいの神、ビルスが長いねむりから目覚め、強い戦士を求めて地球にやって来た。この異次元の強敵を止められるのは、伝説の戦士""超サイヤ人ゴッド""しかいない!",国内アクション・アドベンチャー
ログ・ホライズン,オンラインゲームの中に何万人ものプレーヤーが閉じ込められてしまった。内気な大学生ゲーマーと仲間たちは協力しあい、この異世界の危機を乗り切れるのか?,ゲーマーにオススメのアニメ
まおゆう魔王勇者,勇者と魔王は永遠の宿敵...のはず。しかしこの勇者は魔王と契約を交わし、人間界と魔界に平和をもたらすために力を合わせるという意外な選択をする。,歴史・時代劇
ラブライブ!,廃校の危機に瀕した音ノ木坂学院を守るため、高坂穂乃果を中心とした9人の女子生徒が立ち上がる。アイドルになって学校を世に広く宣伝し、目指せ、入学者数増加!,青春・学園アニメ
劇場版 STEINS;GATE 負荷領域のデジャヴ,大学生の岡部と仲間達は偶然、過去に送信できるメール「Dメール」を発明する。だが何度過去を改変しても仲間の死が訪れる。残酷な未来に絶望した岡部は…。,ビデオゲームが原作のアニメ
ベルセルク 黄金時代篇 III 降臨,鷹の団とガッツは1年のときを経て再び結集。幽閉されていたグリフィスを救出するが、ゴッド・ハンドが降臨して、それぞれの運命は壮絶なエンディングを迎える。,主人公最強アニメ
Free!,小学校を卒業してから違う道を歩んだ、かつての水泳仲間達。高校生になって再会し、岩鳶高校水泳部を設立する。水しぶき舞うプールで、熱い青春物語の幕が開く。,スポーツアニメ
有頂天家族,京都で暮らす下鴨家は狸の家族。狸界の頭領だった父亡き後、人間や天狗らとそれなりに楽しく暮らしていた一家は、ある日、父が狸鍋にされた真相を知ることになる。,SF・ファンタジーアニメ
ゴールデンタイム,好景気に湧く1980年代の日本で、廃品置き場に捨てられてしまった60年代製のテレビ。捨てられた悲しい現実を受け入れられないテレビは、脱出を試みるが…。,国内SF・ファンタジー
〈物語〉シリーズ セカンドシーズン,新学期をむかえた阿良々木暦と少女たちのまわりには、ふたたび怪異、あるいは、それ以上の脅威が忍び寄っていた。新たな6つの〈物語〉が、いま始まる。,SF・ファンタジーアニメ
のんのんびより,小学5年生の一条蛍は、東京から小さな山里の学校、旭丘分校に転校してきた。全校生徒はたったの5人。あまりにも今までとは違う環境で、戸惑いもあるけど…。,コメディ・ギャグアニメ
ソードアート・オンライン Extra Edition,新しい物語を交えつつこれまでの内容を振り返る総集編。クジラが見たいというユイのため泳ぎの特訓をした直葉は、満を持して水中クエストに挑むが…。,主人公最強アニメ
Fate/kaleid liner プリズマ・イリヤ,冬木市の穂群原学園初等部のイリヤは魔法のステッキに騙され、強制契約を結ばされてしまう。魔法少女プリズマイリヤとなり、英霊の宿るカードを回収することに。,コメディ・ギャグアニメ
蒼き鋼のアルペジオ -アルス・ノヴァ-,温暖化に伴う急激な海面上昇と、世界の海洋に出現した謎の軍艦群による攻撃により、人類は疲弊の一途をたどっていた。だが攻撃から7年、ある青年が立ち上がる。,ミリタリー・戦争アニメ
リトルウィッチアカデミア,伝統ある魔法学校に入学したアッコ。新風を吹き込みたいけど、周りからは理解されない。そこへ、眠れる竜が復活する危機が! 立ち向かえるのはアッコだけ?,国内SF・ファンタジー
ストライク・ザ・ブラッド,"""第四真祖""とは、伝説でしか存在しないはずの世界最強の吸血鬼。その監視と抹殺のため魔族特区を訪れた見習い攻魔師が遭遇した第四真祖、暁古城の正体とは...!",主人公最強アニメ
デート・ア・ライブ,謎の生命体・精霊が悲惨な自然災害を次々と引き起こす世界。地球の平和を守るために必要なこと...それは、ひとりの高校生がデートを成功させることだった。,コメディ・ギャグアニメ
機巧少女は傷つかない,20世紀初頭。人形使いの少年・赤羽雷真が、日本から大英帝国に留学する。だが、渡英した彼の本当の目的は、一族を皆殺しにした男に復讐することだった。,ロボット・サイボーグアニメ
がんばれ! ルルロロ,大ベストセラー絵本を原作に、カラフルなくまのふたごを描いたアニメ作品。ルルとロロは元気いっぱい。今日も楽しい冒険に出発!,キッズTV番組
私がモテないのはどう考えてもお前らが悪い！,黒木智子は極度の人見知りで、心の中で毒を吐きまくる15歳のオタク少女。女子高生になれば自然とモテると思っていたが、現実は残酷。非モテ女子の苦悩が始まる!,コメディ・ギャグアニメ
サカサマのパテマ,アイガ君主国の少年エイジはある日空を見上げ地下世界の「サカサマの少女」パテマに偶然出会う。それは封じられた「真逆の世界」の謎を解く、禁断の事件だった。,国内SF・ファンタジー
東京レイヴンズ,陰陽師の名門に生まれながら才能に恵まれていない春虎。時代は霊の力で混乱を極めるなか、古い友人との再会で全てが変わろうとしていた。,コメディ・ギャグアニメ
問題児たちが異世界から来るそうですよ?,特殊な能力を持った3人の問題児たちが、ある日異世界へと召還されてしまう。そこで彼らを待ち受けていたのは、富と名誉をもたらすゲームへの挑戦だった!?,主人公最強アニメ
しまじろうとフフのだいぼうけん 〜すくえ! 七色の花〜,島の花が次々と枯れて行くという謎の現象が起こる。しまじろうと友達は花の姫フフと出会い、フフのお母さんの救出のため大冒険を繰り広げる。,キッズ音楽
劇場版とある魔術の禁書目録エンデュミオンの奇蹟,"学園都市製宇宙エレベーター""エンデュミオン""の完成を控えたある日。上条当麻とインデックスが仲良くなった少女・鳴護アリサが、突如、魔術サイドから襲われる。",国内SF・ファンタジー
きんいろモザイク,大宮忍は高校1年生の女の子。イギリスでのホームステイ先の少女、アリス・カータレットがある日学校に現れ、アリスが自分の家で暮らすことになった忍は大喜び!,コメディ・ギャグアニメ
映画 プリキュアオールスターズNew Stage 2 こころのともだち,妖精学校からパーティに招待されて大喜びのプリキュアたちだが、怪しい影に変身アイテムを盗まれて大ピンチ。影から学校や妖精を救うためプリキュアが総動員。,アニメ
映画かいけつゾロリ まもるぜ! きょうりゅうのたまご,"仲良しのきょうりゅうのママが住む南の島""おっとっ島""。はげしい台風で海に放り出されたたまごを取りもどすため、大あれの海にとびこむゾロリたち...!",キッズ・ファミリー映画
映画 ドキドキ!プリキュア マナ結婚!!? 未来につなぐ希望のドレス,祖母と母が着たウエディングドレスをもらったマナは、そのドレスを着る日に思いを馳せ胸をときめかせる。しかし、謎の男が出現し、過去の世界に飛ばされてしまう。,アニメ
ジョジョの奇妙な冒険,ジョースター家の血を引く者が背負う、忌まわしき宿命。それは、邪悪な者達と繰り広げてきた死闘の歴史。世代も国境も超えて、ジョジョ達の戦いの運命は続く。,SF・ファンタジーアニメ
キングダム,春秋戦国時代の中国、戦災孤児の信は、天下の大将軍を夢見て鍛錬に明け暮れていた。秦王・政と運命の出会いを果たすと、王の剣となって乱世に身を投じてゆく。,歴史アニメ
ソードアート・オンライン,2022年、VRMMORPG《ソードアート・オンライン》は1万人のプレイヤーの完全なる仮想空間を実現。だがある日、ゲームマスターが非情な宣言をする。,主人公最強アニメ
Psycho-Pass サイコパス,2113年、人々は脳の検査を受け、犯罪に手を出す可能性を計測されている。検査にひっかかれば逮捕、あるいは殺されるかもしれなかった。,SF・ファンタジーアニメ
黒子のバスケ,中学バスケ界を制した5人のスター選手も一目置く幻の6人目、黒子テツヤ。誠凛高校バスケ部に入部した黒子は、新たな仲間たちと支え合いながら頂点を目指す!,スポーツアニメ
ヨルムンガンド,世界の紛争地帯で武器を売るココ・ヘクマティアル。両親を奪った武器を憎む元少年兵を私兵部隊に引き入れ、タフな交渉や激しい戦闘を切り抜けていく。,アクションアニメ
ONE PIECE FILM Z,全海賊抹殺を企む元海軍大将ゼットが、古代兵器に匹敵すると言われる巨大なエネルギーを持つダイナ岩を強奪。ルフィたちは傷ついたゼットを偶然助けるが...。,日本アカデミー賞受賞映画
ガールズ＆パンツァー,"""戦車道""の名家に生まれた西住みほ。お家芸から逃げるつもりで高校を転校するが、どういうわけだか、そこでできた親友たちと共に戦車道を突き進むことに!",ミリタリー・戦争アニメ
コードギアス 亡国のアキト,"神聖ブリタニア帝国との戦いで逆転を狙うユーロピア共和国連合軍は、特殊部隊""wZERO""を設立。日向アキトは、パイロットとして生きるための戦いを続ける。",主人公最強アニメ
ベルセルク 黄金時代篇 I 覇王の卵,"戦地を渡り歩く孤高の剣士ガッツは、傭兵集団""鷹の団""のリーダー、グリフィスに見出され団の一員に。数々の死線をくぐり抜ける中で、仲間との絆を深めていく。",主人公最強アニメ
氷菓,"折木奉太郎は、省エネを信条とする高校1年生。ひょんなことから廃部寸前のクラブ""古典部""に入部し、そこで出会った仲間と共に様々な謎を解き明かしていく。",サスペンス・ホラーアニメ
LUPIN the Third -峰不二子という女-,あのルパン三世をも虜にした、お色気たっぷりの女怪盗・峰不二子。その隠された素顔が今明らかに。仲間たちの若き日の姿を描く名作アニメのスピンオフシリーズ。,コメディ・ギャグアニメ
劇場版 魔法少女 まどかマギカ [後編]永遠の物語,願いから生まれる魔法少女の物語が再び、新たな物語としてつむがれる。 ＴＶシリーズを再構成した劇場版2作。 「さあ、鹿目まどか――その魂を代価にして、君は何を願う？」,国内SF・ファンタジー
妖狐×僕SS,悩みを抱える白鬼院凜々蝶(しらきいん りりちよ)は、通称「妖館」(あやかしかん)と呼ばれている「メゾン･ド･章樫(あやかし)」へやって来た。そこで出会ったのは…。,コメディ・ギャグアニメ
偽物語,青春は、ほんものになるための戦いだ。,SF・ファンタジーアニメ
となりの怪物くん,勉強にしか興味がなかった水谷雫は、入学初日の流血事件以来、一度も学校に来ない吉田春にたまたまプリントを届けたことで、勝手に懐かれてしまって…!?,コメディ・ギャグアニメ
K,"現実とは微妙に異なった歴史を歩んだ現代日本。普通の高校生""シロ""は、身に覚えのない殺害容疑をかけられ、2人の王とそのクランから追われる身となる。",主人公最強アニメ
神様はじめました,父に捨てられてもめげずに頑張る女子高生が、思いがけず土地神になっちゃった? 元は野狐の神使とともに、ミカゲ社という神社を守る生活が始まる。,恋愛アニメ
劇場版 魔法少女 まどかマギカ [前編]始まりの物語,願いから生まれる魔法少女の物語が再び、新たな物語としてつむがれる。 ＴＶシリーズを再構成した劇場版2作。 「さあ、鹿目まどか――その魂を代価にして、君は何を願う？」,国内SF・ファンタジー
劇場版 FAIRY TAIL －鳳凰の巫女－,魔導士のナツと仲間達の前に立ちはだかる、永遠の命を手に入れようとする王子の邪悪な陰謀と、かつてない強大な敵。古の封印が解かれし時、世界は炎に包まれる!,主人公最強アニメ
男子高校生の日常,男子校に通う、とてつもなくバカな3人組。いつもツルんでいるが、特に目覚ましいことや意味のあることをするわけでもない。そんな彼らのフツーの日常を描く。,コメディ・ギャグアニメ
アクセル・ワールド,"仮想ネットワークが生活に入り込んだ未来。いじめられっ子のハルユキは暗い日々を送る。そんなある日、学校で一番かわいい女子に""加速世界""の秘密を教えられる。",ゲーマーにオススメのアニメ
カンピオ―ネ! ～まつろわぬ神々と神殺しの魔王～,サルデーニャ島へ旅をした元野球選手の草薙護堂。図らずもそこで神殺しの魔王の称号を受けた彼は、異端の神々を倒す命を受ける。王の中の王よ、汝覇者となれ。,主人公最強アニメ
ベルセルク 黄金時代篇 II ドルドレイ攻略,"グリフィス率いる""鷹の団""は、次々と勝利を収める。しかし、敵国チューダー帝国との100年戦争で苦戦したミッドランド王国は、鷹の団に無謀な命令を下す。",主人公最強アニメ
史上最強の弟子 ケンイチ　闇の襲撃,日々修行に勤しむ、高校生の白浜兼一と武術家少女の美羽。世界に混乱をもたらそうとする組織、闇の刺客に狙われてしまう。降りかかる火の粉は、拳で振り払え!,アクションアニメ
エウレカセブンAO,"""ニルヴァーシュ""と呼ばれたIFOとの出会いを経て、ゲネラシオン・ブルに入隊する13歳の少年、アオ。やがて母、エウレカについての真実を知ることに。",ロボット・サイボーグアニメ
ココロコネクト,"人格が突然入れ替わる奇妙な現象に直面した、5人の高校生。それぞれの日常を一変させるこの異常事態には、""ふうせんかずら""という謎の存在が関わっていた。",SF・ファンタジーアニメ
猫物語（黒）,知らぬまに、落ちているのが初恋だ。,恋愛アニメ
劇場版 BLOOD-C The Last Dark,日本刀を手に異形のモノと戦う、人ならぬ少女・小夜。東京に君臨する怨敵・文人に復讐を遂げるべく、刃を血で染めてゆく。様々な思惑の中、決戦の時が訪れる。,国内アクション・アドベンチャー
虹色ほたる～永遠の夏休み～,亡き父との思い出の場所を訪れた小学生のユウタは、ひょんなことから30年以上前にダムに沈んだ村へタイムスリップ。決して忘れられない不思議な夏休みが始まる。,国内SF・ファンタジー
映画 プリキュアオールスターズ NewStage みらいのともだち,みなとみらいが謎の怪物・フュージョンを倒したプリキュアの話題に沸く中、転校生・あゆみは謎の生き物と出会う。だが、それはフュージョンのカケラだった!,アニメ
映画かいけつゾロリ だ･だ･だ･だいぼうけん!,お宝を手に入れようと訪れた山のふもとの村には、病気に苦しむたくさんの子どもたちが! ゾロリはあることを目的に、薬に必要な材料を危険な山へ探しに行く。,コメディ・ギャグアニメ
映画 Go!プリンセスプリキュア Go!Go!!豪華３本立て!!!,ハロウィーンをテーマにした史上初の豪華3本立て。マジカルな国を舞台に、お姫様を救ったり、夜の闇から昼を取り戻したり、プリキュアたちが冒険を繰り広げる。,キッズ・ファミリー映画
映画 スマイルプリキュア! 絵本の中はみんなチグハグ!,世界中の絵本が集まるイベントにやってきた5人のプリキュア。そこで出会った不思議な女の子・ニコちゃんに連れられ、不思議なおとぎ話の世界に入り込む。,アニメ
魔法少女まどかマギカ,それは、彼女の運命を変えてしまうような出会い――それは、新たなる魔法少女物語の始まり――,SF・ファンタジーアニメ
Steins;Gate シュタインズ・ゲート,自称マッドサイエンティストと仲間たちが、過去へとメールを送信できるタイムマシン「電話レンジ(仮)」を偶然発明するが、それが大きな悲劇を引き起こす。,ビデオゲームが原作のアニメ
Fate/Zero フェイト／ゼロ,虚淵玄（ニトロプラス）によって書かれた「Fate/stay night」のスピンオフ小説を、『劇場版「空の境界」』を制作したufotableがTVアニメ化。,ビデオゲームが原作のアニメ
日常,ロボットの同級生、人間の言葉を話すネコ、8歳の天才児。普通に見えるけど、どこか不思議な人々が住み、シュールな現象が起こるこの町こそ、相生ゆっこの日常だ。,コメディ・ギャグアニメ
TIGER & BUNNY,"特殊能力者""NEXT""が守る都市、シュテルンビルト。ベテランの虎徹は新人のバーナビーとコンビを組むことに。2人は対立しながらも、悪に立ち向かっていく!",SF・ファンタジーアニメ
未来日記,"内向的な少年が、未来を予測する""未来日記""の所有者間で繰り広げられる殺人ゲームに巻き込まれ、次第に優勝者に与えられる""神""の座を目指すようになる。",ゲーマーにオススメのアニメ
デッドマン・ワンダーランド,クラスメイト全員を惨殺した無実の罪で死刑囚となった少年は、悪夢のような刑務所に送致される。自分の無実を晴らすためには、強くなって生き延びるしかない。,ゲーマーにオススメのアニメ
機動戦士ガンダムAGE,驚異的な強さを誇る敵の出現により、戦うことで進化を続けていくことになった人間。100年もの年月と3世代に渡る、壮大なガンダム大河ストーリーの幕開け。,ロボット・サイボーグアニメ
GOSICK －ゴシック－,アルプスの山々に抱かれた、不気味な噂がはびこる学校。留学してきた久城一弥がヴィクトリカ・ド・ブロワと出会い、共に様々な謎を解決してゆく。,恋愛アニメ
輪るピングドラム,"死んだはずの最愛の妹が、ペンギンの帽子をかぶり再び目を覚ます。妹の命を救いたい2人の兄は、本物のペンギンたちとともに""ピングドラム""を探し始めるが…。",SF・ファンタジーアニメ
BLOOD-C,昼は高校に通い、夜は人間を喰らう怪物「古きもの」と戦う小夜。大切な父や友、街、そして「約束」を守るため孤独に立ち向かう。小夜に待ち受ける運命とは!?,SF・ファンタジーアニメ
これはゾンビですか?,ネクロマンサーによって生き返らされゾンビとなった男子高校生・相川歩。自分を殺した犯人を探す一方で、バケモノと戦う魔装少女や吸血忍者にも協力する羽目に。,コメディ・ギャグアニメ
トリコ 開幕! グルメアドベンチャー!!,伝説の美食屋・トリコは、村を襲う怪鳥ゲロルドの退治を少年から頼まれた。未開の味を求め、願いを聞き入れるトリコ。食うか食われるか、グルメバトルが始まる!,キッズアニメ
僕は友達が少ない,"学園で浮いてしまっている小鷹は、いつも不機嫌そうな少女・夜空と、友達作りを目指す""隣人部""を作る。怪しいけどやけに楽しい、残念系青春ラブコメ!",コメディ・ギャグアニメ
ゆるゆり,"気の向くままにのほほんと活動する七森中""ごらく部""。その部員である4人の女子中学生のゆるーい日常を愛とユーモアたっぷりに描くアニメ。",コメディ・ギャグアニメ
アイドルマスター,"芸能事務所""765プロダクション""に所属する個性豊かな女の子達が、トップアイドル目指して大奮闘! 大きな夢に向かって頑張る彼女達の、ひたむきな姿を描く物語。",ビデオゲームが原作のアニメ
IS<インフィニット・ストラトス>,女の園に男が1人! 多国籍・多種多様な少女たちが織りなす、疾風怒濤のアクションバトルと恋模様。突如襲い来る敵、ISに秘められた謎、そして恋の行方は!?,ロボット・サイボーグアニメ
ルパン三世TVSP#22 血の刻印 〜永遠のmermaid〜,"不二子を誘拐した犯人の要求に従い盗んだ幻の宝玉""人魚の鱗""は偽物だった…。この財宝の謎を追ううち、ルパンは泥棒志望の少女・麻紀と謎の女・美沙と出会う。",アクションアニメ
ワンピース 麦わらチェイス,ルフィの命よりも大切な麦わら帽子がこつ然と消える。血眼になって探すうち、麦わら帽子をくわえた大ワシを発見。一方チョッパーは漂流船から老海賊を救出する。,国内アクション・アドベンチャー
劇場版アニメ 忍たま乱太郎 忍術学園 全員出動! の段,学園側の手違いで6年生の宿題を与えられた喜三太はオーマガトキ城に向かうが、そこは戦の真っ最中だった。喜三太を救出するため、忍術学園の全員が出動する。,キッズ・ファミリー映画
映画 プリキュアオールスターズDX３ 未来にとどけ! 世界をつなぐ 虹色の花,巨大ショッピングモールへやって来た北条響と南野奏。ひょんなことからつぼみたちのファッションショーに乱入。すると、妖精たちが空から降ってきて...。,アニメ
映画 スイートプリキュア とりもどせ!心がつなぐ奇跡のメロディ,ある日、音楽の国メイジャーランドから音楽がなくなってしまう。音楽が聞こえなくなってしまった世界で、プリキュアたちが音楽と平和を取り戻すため大奮闘。,アニメ
涼宮ハルヒの消失,クリスマスが間近に迫った冬のある日。キョンは後ろの席にいるはずのハルヒがいないことに気づく。さらに驚くべきに、その席に座っていたのは、なんと...!,国内SF・ファンタジー
四畳半神話大系,"無意義な2年間を過ごしてきた大学3回生の""私""。いっそ1回生に戻ってやり直せれば...。迷い込んだ4つの平行世界で繰り広げられる不毛と愚行の青春奇譚。",コメディ・ギャグアニメ
学園黙示録 HIGHSCHOOL OF THE DEAD,平和な学園を突如襲った、生ける屍(しかばね)の脅威。追い詰められた生徒たちは自力での脱出を図るが、地獄のような世界は学園の外にもすでに広がっていて…。,サスペンス・ホラーアニメ
デュラララ!!,東京・池袋。都会の非日常に憧れる竜ヶ峰帝人は、幼なじみの紀田正臣の誘いもあり、高校進学を機に引っ越してきた。そこは過去と現在が渦巻く、謎の世界だった。,サスペンス・ホラーアニメ
Angel Beats!,舞台は死後の世界。なんらかの理由で最後を遂げた少年・音無は、死後の世界の学校で、ゆりと名乗る少女と出会う。彼は、ゆりたちと共に戦う道を選ぶことにしたのだが…。,主人公最強アニメ
Panty&Stocking with Garterbelt,落ちこぼれの天使2人、パンティとストッキングが地上に降り立った。その使命は、ダテンシティにはびこるゴースト退治。人々の欲望につけこむ奴らをブッ倒せ!,コメディ・ギャグアニメ
バカとテストと召喚獣,"最底辺のクラスに振り分けられた文月学園の生徒が上位にのし上がる唯一のチャンス。それは召喚獣を使い、強豪クラスを相手に""試験召喚戦争""を挑むことだった。",コメディ・ギャグアニメ
荒川アンダー ザ ブリッジ,「他人に借りを作るべからず」を信条に生きるエリート大学生は、ホームレスの少女に命を助けられた。命の恩人に借りを返すため、大騒動の日々が幕を開ける!,コメディ・ギャグアニメ
生徒会役員共,女子高から共学となった高校に通う男子生徒・津田タカトシ。入学早々、強制的に生徒会副会長に任命されるが、生徒会のメンバーはクセモノばかり...!?,コメディ・ギャグアニメ
劇場版 Fate/stay night UNLIMITED BLADE WORKS,"手にした者の願いを叶えるという""聖杯""を巡る壮絶な戦争に巻き込まれた高校生の衛宮士郎。7人の魔術師とその使い魔たちが繰り広げる過酷な戦いの行方は?",ビデオゲームが原作のアニメ
