タイトル,あらすじ,ジャンル
Devilman Crybaby,泣き虫の高校生・不動明は、幼なじみの飛鳥了と再会し、危険なパーティに誘われた。そこで明は見る。悪魔に変わっていく人々を。そしてまた明自身も……。,サスペンス・ホラーアニメ
アグレッシブ烈子,一流商社でOLとして働くレッサーパンダ・烈子の楽しみは、仕事帰りの一人カラオケ。デスボイスでメタルを歌って、仕事のストレスを思い切り発散するの!,コメディ・ギャグアニメ
はたらく細胞,擬人化モノの新定番、大人気コミック「はたらく細胞」が待望のテレビアニメ化! 誰もが共感できる、体内細胞擬人化ストーリー!,2018年アニメ
転生したらスライムだった件,平凡なサラリーマンの三上はひょんなことからスライムに転生。異世界で多種多様な種族と出会い、幾多の困難を乗り越え、皆が楽しく暮らせる国作りを目指す。,主人公最強アニメ
ソードアート・オンライン アリシゼーション,新型VRマシンの実験に参加した、SAOの英雄キリト。仮想世界で目を覚ましたキリトの脳裏には、あるはずのない記憶、この世界で過ごした日々の想い出があった。,主人公最強アニメ
劇場版 七つの大罪 天空の囚われ人,幻の食材を探すうち天空宮へ飛ばされた団長と豚のホーク。凶悪な魔獣を3000年の封印から解こうとする魔神族から天翼人を守るため、七つの大罪が立ち上がる。,主人公最強アニメ
おしりたんてい,じけんのにおいがしたら、おしりたんていにおまかせ! いつもやさしくていねいで、小さな手がかりも見のがさない。どんなじけんでも、すぐにププッとかいけつ。,2018年アニメ
ゲゲゲの鬼太郎 (第6作),長い間封印されていたはずの妖怪が目覚め、悪さを仕かけ始める。半信半疑で妖怪ポストに手紙を出した中学生・まなの前に、ゲゲゲの鬼太郎と目玉おやじが現れる。,SF・ファンタジーアニメ
ハイスコアガール,勉強もスポーツもまったくダメ、ゲームだけが取柄の主人公。なぜか場末のゲーセンで同級生のお嬢さまに遭遇。実は彼女は凄腕のゲーマーだった。,コメディ・ギャグアニメ
B: The Beginning,"王立警察の天才捜査官キース・フリックは捜査の最前線へ復帰し、連続殺人鬼""キラーB""を追う。謎の少年、黒羽は彼の味方か? それとも追い続けてきた因縁の相手か?",SF・ファンタジーアニメ
ピアノの森,森に捨てられたピアノで遊びながら育った一ノ瀬海が、かつての天才ピアニストや偉大なピアニストの父を持つ友人との出会いの中で、ピアノの才能を開花させていく。,2018年アニメ
ざんねんないきもの事典,本来ならば生存確率をあげるために起こる生物の進化により、役に立たない生態をもつようになったいきものたち。その愛すべき姿を通して進化のふしぎにせまろう。,キッズTV番組
GODZILLA 星を喰う者,敗北感と虚無感が広がる人間たちのエクシフへの傾倒を止められないハルオ。そして滅びもいとわないカルトの手で、星を喰(く)うあの怪物が呼び覚まされる!,国内SF・ファンタジー
Ingress: The Animation,人間の精神に干渉する物質が発見され、世界はふたつの陣営に分かれて激しい争奪戦を繰り広げる。その大いなる力は、果たして神からの贈り物か、悪魔の果実か…。,ビデオゲームが原作のアニメ
ニンジャバットマン,バットマンと悪党達は、時空震エンジンの暴走によって戦国時代へタイムスリップ。時空を超えた戦が始まる! 日本屈指のクリエイター達が贈る戦国バットマン物語。,国内アクション・アドベンチャー
Back Street Girls －ゴクドルズ－,極道渡世に身も心も捧げた生粋の極道3人が、性転換&全身整形してアイドルデビュー。しかもまさかの人気急上昇!? 史上初、仁義なきアイドル渡世コメディ!,コメディ・ギャグアニメ
ヴァイオレット・エヴァーガーデン：スペシャル,依頼人の想いをくみ取って手紙を代筆する自動手記人形、ヴァイオレット・エヴァーガーデン。様々な依頼を受けるなか、戦争の爪痕や自身の心の意味を知ってゆく。,恋愛アニメ
GODZILLA 決戦機動増殖都市,"ゴジラから地球を取り戻す戦いに挑むハルオと仲間たち。人類の生き残りフツアの民の助けを得て、かつて対ゴジラ兵器""メカゴジラ""を開発していた研究所へ向かう。",国内SF・ファンタジー
revisions,時間を超え、2388年に転送された渋谷の中心地。未来人組織アーヴに属するミロに選ばれた高校生、大介と仲間達は、未来人リヴィジョンズと戦うよう促される。,ロボット・サイボーグアニメ
重神機パンドーラ,世界を激変させた事故から7年。人類を脅かす特異進化生物を作り出してしまった天才科学者レオン・ラウは、その驚異に対抗すべく独自の研究を続けていた。,ロボット・サイボーグアニメ
メガロボクス,"肉体とギア・テクノロジーを融合させた格闘技""メガロボクス""にすべてを賭ける男たちの熱い闘いが始まる。不朽の名作「あしたのジョー」連載50周年記念作品。",スポーツアニメ
ソードガイ The Animation,伝説の刀を体に宿す青年を待ち受けていたのは、生ける武器としての過酷な運命。強大な敵を倒し、人類を破滅から救い出せ。圧倒的な殺意がすべてを飲み込む前に。,SF・ファンタジーアニメ
ひそねとまそたん,航空自衛隊の新人自衛官、甘粕ひそねは、着任したばかりの岐阜基地でドラゴンに遭遇。そのパイロットとして選ばれたことから、思いもよらぬ道を歩むことになり…。,ミリタリー・戦争アニメ
アグレッシブ烈子：We Wish You a Metal Christmas,SNSでの承認欲求が止まらない烈子は、インスタ映えするクリスマスイブの計画を立てようと必死。なのに、直前になっても一緒にいてくれる人が見つからない...。,コメディ・ギャグアニメ
ダーリン・イン・ザ・フランキス,多くの名作を手がけてきた豪華スタッフによるオリジナル・アニメ「ダーリン・イン・ザ・フランキス」。遂にプロジェクトが始動!!,ロボット・サイボーグアニメ
Fate/EXTRA Last Encore,"それは、忘れ去られた月で開演(ひら)かれる""EXTRA""の物語。""聖杯""をかけた、魔術師と英霊による、新たな月の聖杯戦争、開演。",ビデオゲームが原作のアニメ
ソードアート・オンライン オルタナティブ ガンゲイル・オンライン,"女子大生・香蓮はガンゲイル・オンラインでプレイを重ね、""ピンクの悪魔""と呼ばれるまでに。意気投合したピトフーイに誘われてスクワッド・ジャムに参加する。",主人公最強アニメ
ポプテピピック,どうあがいても、クソ。,コメディ・ギャグアニメ
詩季織々,懐かしいビーフンの思い出。モデルの苦悩と姉妹愛。ほろ苦い初恋。中国の3都市で、喜んだり悩んだりしながら生きる若者の過去と現在を美しい映像で紡ぐ。,劇場版アニメ
夜は短し歩けよ乙女,"大学の後輩である""黒髪の乙女""に思いを寄せる""先輩""は、彼女を追い求めるうちに珍事件に巻き込まれていく。 京都を舞台にした風変わりなラブストーリー。",日本アカデミー賞受賞映画
ゴブリンスレイヤー,ゴブリン退治に全てをささげる男、人呼んでゴブリンスレイヤー。冒険者になりたての女神官は彼と冒険を共にするのだが、一人前への道のりは果てしなく険しい。,主人公最強アニメ
イナズマイレブン オリオンの刻印,"少年サッカー日本代表""イナズマジャパン""。日本中から選びぬかれた最強のイレブンが世界のあら波へと船出する中、想像を絶する試練が待ち受ける。",ビデオゲームが原作のアニメ
銀河英雄伝説 Die Neue These,"""銀河帝国""と""自由惑星同盟""という二大陣営に分かれた人類が、銀河の頂点を目指して宇宙空間で火花を散らす。田中芳樹のSF小説に基づいた作品。",SF・ファンタジーアニメ
天狼 Sirius the Jaeger,"昭和初期。帝都東京に現れたのは、""天狼(シリウス)の匣(はこ)""を巡り、吸血鬼との死闘に挑む狩人たち。その中には、人狼(じんろう)と人間との混血ユーリィがいた。",SF・ファンタジーアニメ
奴隷区 The Animation,"他人を奴隷にできる器具""SCM""。勝利か、服従か。報復、愛情、憎悪...さまざまな思惑が交差する中、壮絶なサバイバルゲームが幕を開ける。",サスペンス・ホラーアニメ
ヒナまつり,悠々自適な生活を送る若きインテリヤクザ・新田義史。ある日謎のサイキック少女・ヒナが現れ、優雅な独身生活は一変。念動力を使うヒナに脅され、同居するハメに。,コメディ・ギャグアニメ
A.I.C.O. Incarnation,"自分が生きてきた日常の全てがうそだった...。マターを止め、また、自分の家族を救うため、アイコは""ダイバー""たちと共にバーストが起きた場所を目指す。",SF・ファンタジーアニメ
シュタインズ・ゲート ゼロ,岡部倫太郎が数々の苦難、悲哀の果てに牧瀬紅莉栖を救うことを諦めてしまった世界線。失意の底にある彼は、ある人物に出会い、意外な再会を果たすことに。,ビデオゲームが原作のアニメ
紅き大魚の伝説,不思議な別世界に住む少女は赤いイルカに姿を変え、人間界をさまよう。そこでの男の子との出会いが、運命を決する旅路に少女を駆り立てる。,SF・ファンタジーアニメ
博多豚骨ラーメンズ,一見平和そうだが、裏では犯罪がはびこる町・福岡。人口の3%が殺し屋という町を舞台に、探偵事務所を営む九州男児と裏家業の男達が、命をかけてしのぎを削る。,サスペンス・ホラーアニメ
SSSS.GRIDMAN,"高校生の響裕太は古いパソコンを通して""ハイパーエージェント・グリッドマン""に出会い、使命を果たせと告げられる。平和を脅かす危機が、すぐそこに迫っていた。",ロボット・サイボーグアニメ
