タイトル,あらすじ,ジャンル
プラダを着た悪魔,大学を卒業し、ジャーナリストをめざしてNYにやってきたアンディ。オシャレに興味のない彼女が、世界中の女性たちが死ぬほど憧れる仕事を手にしてしまった! それは一流ファッション誌“RUNWAY”のカリスマ編集長ミランダ･プリーストリーのアシスタント。しかし、それは今まで何人もの犠牲者を出してきた恐怖のポストだった! ミランダの要求は、悪魔的にハイレベル。朝から晩まで鳴り続けるケイタイと横暴な命令の数々、その上「センス、ゼロ!!」と酷評され、アンディはこの業界が努力とやる気だけでは闘えないことを思い知らされる。キャリアのためとはいえ、私生活はめちゃめちゃ。カレの誕生日は祝えないし、友達にも愛想をつかされる。この会社で、このままでいいの? 私って、本当は何をしたいんだっけ?,"ヒューマンドラマ,コメディ,恋愛"
ウルフ･オブ･ウォールストリート,セックス、金、権力、ドラッグ。現実とは思えない衝撃的な実話を映画化したのは巨匠マーティン･スコセッシ監督だ。レオナルド･ディカプリオが演じたのはニューヨークに住む、富と名声に貪欲な若手の株式ブローカー。不正が横行し果てしのない欲望が渦巻く街に住むその男の名前はジョーダン･ベルフォート。,"コメディ,ヒューマンドラマ"
チャイルド･プレイ,世界を震撼させたショッキング･ホラーの傑作! 刑事に追われ、逃げ込んだ玩具店で最期を悟った殺人鬼は、傍らにあった人形を引き寄せ、不気味な呪文を唱え出した。やがて彼は壮絶な死を遂げる。数日後、6歳になったアンディは誕生日に母親から言葉を話す人形を贈られる。しかし、チャッキーと名乗るその人形には、あの殺人鬼の邪悪な魂が宿っていた!,ホラー
2 days トゥー･デイズ,ロスの閑静な郊外住宅地、サン･フェルナンド･バレーで起こった殺人事件。2人の殺人者により、平凡な生活を送っている住人が問題に巻き込まれる。この巧妙なストーリーでは2人の殺人者、女主人、看護婦、報復的な前妻、金持ちの美術商と彼の傷心のアシスタント、自滅的な作家とその犬、そして冷酷な警察とそのパートナーが交錯してゆく。,"サスペンス／ミステリー,ヒューマンドラマ"
ワールド･トレード･センター,2001年9月11日に起きたアメリカ同時多発テロ。ニコラス･ケイジとマイケル･ペーニャ演じる2人の港湾局警察官は、崩壊したビルの瓦礫の下に閉じ込められてしまう。,ヒューマンドラマ
マトリックス リローデッド,あと数時間もすれば、人類最後の都市ザイオンは人類滅亡をプログラムされた25万のセンチネルに侵略されてしまう。だが、モーフィアスの信念に揺るぎはなかった。オラクル (預言者) の預言では、救世主がマシンとの戦いに必ず決着をつけてくれる---人類の未来と希望は、救世主として覚醒したネオに託された! ネオ、トリニティー、モーフィアスの3人は驚異の肉体と武器を携え、この戦いに終止符を打つべくマトリックスへ乗り込む。ウォシャウスキー兄弟とジョエル･シルバーの放つ『マトリックス』の世界観はさらなる進化を遂げ、驚愕のラストは、3部作を完結へと導く最終章＝『マトリックス レボリューションズ』へと続いていく。,"アクション,SF,サスペンス／ミステリー"
TAXI NY,メッセンジャーからタクシー運転手へ転身したベルは、チタン製スーパーチャージャーを搭載した改造タクシーを乗りこなす、ニューヨークNO.1のスーパー･タクシー･ドライバー。一方、ニューヨーク市警のウォッシュバーン刑事は、超ド級の運転ベタ。何をやってもドジばかりで、ある日とうとう車を取り上げられてしまう。そんな折、銀行強盗が発生! ウォッシュバーンは偶然近くにいたベルのタクシーを拾い、現場へ直行する。犯人はなんと、スーパーモデル顔負けのスタイルを持つ超セクシー美女4人組。しかもベルに負けず劣らずのスーパー･ドライブ･テクニックで見事に追っ手をかわしていく。いつの間にか強盗追跡捜査に巻き込まれたベルは、はみだし刑事とでこぼこコンビを結成。神出鬼没の女銀行強盗団との息詰まるスピードを賭けた戦いに挑む!,"アクション,コメディ"
メカニック：ワールドミッション,殺し屋稼業から足を洗ったビショップに、予期せぬ暗殺の依頼が来る。依頼主は、幼少期にギャングに売られたビショップと共に、少年兵士として訓練を受けたクレイン。彼はかつてビショップに見捨てられたことを恨んでいた。一度は断るビショップだが、罪のない女を人質にとられ、やむなく依頼を引き受ける。ターゲットは世界を裏で操る3人の武器商人。成功／失敗にかかわらず、ミッションの先には死が待っていることに気付くビショップ。果たして、この超難関ミッションの行方は? そしてクレインの真の目的とは―?,"アクション,サスペンス／ミステリー"
マダガスカル,大都会ニューヨークにあるセントラルパーク動物園の人気者、ライオンのアレックス、シマウマのマーティ、キリンのメルマン、カバのグロリアは仲良し4頭組。ある日、ペンギンズ達の計画にのって動物園から大脱走! だが、ニューヨークのど真ん中で人間に捕まって船で連れ去られてしまう。たどりついた先は…なんと、アフリカのマダガスカル! ごちそう、エステにサプリメントが大好きな都会生まれの4頭は、自然の中では生きられない! どうやったらこの島から脱出できるのか? 自然界で見つけた一番大切なものとは!?,"キッズ,アニメ,ファミリー"
オーシャンズ,命の原点、感動の頂点へようこそ。『アース』、『ディープ･ブルー』を超える、史上最大のドキュメンタリープロジェクト。美しい映像と、圧倒的な生命力に、いのちの魔法をかけられる。制作費70億円、構想10年、撮影期間4年間、世界50ヶ所、撮影70回、そして100種の生命たち―最新の映像機材でとらえた奇跡の瞬間が、あなたを神秘の深海へと誘い込む。世界中を感動に包んだ、ネイチャードキュメンタリーの決定版。,"ドキュメンタリー,キッズ"
