タイトル,あらすじ,ジャンル
ザ･シューター／極大射程,無実の罪を着せられたボブ･リー･スワガーは、全米の捜査機関から追われる羽目に。その裏には、スワガーの暗殺をたくらむ謎の組織の存在があった。,"アクション,ヒューマンドラマ"
I am Sam アイ･アム･サム,ショーン･ペンとミシェル･ファイファーによる役者として脂の乗った演技が見ものの、ユーモラスで心温まるストーリー。知的障害のある父親がやり手女弁護士の力を借りて、娘の養育権を自分の手に取り戻そうと奮闘する。オールスター級の共演陣と豪華なサントラが盛り立てる、人生と愛、そして笑いに溢れた、心にしみる感動の物語!,ヒューマンドラマ
ディストラクションZ,そう遠くない未来。突然発生した原因不明のゾンビ･ウイルスにより、世界は滅びた。ミネソタ州のある街では、生き残った人々が荒れ果てた警察署に立てこもり、元警官のサマーズをリーダーとして絶望的な戦いを続けていた。殺しても殺しても、ゾンビの大群は果てしなく押し寄せてくる。そんなある日、ルークは離れ離れになっていた恋人のベナと再会する。だがその喜びも束の間、ゾンビとの戦いの中でベナが負傷、ウイルスに感染してしまう。そしてルークは、ある“決断”を迫られることになる…。,"アクション,ホラー"
パシフィック･ウォー,1945年、太平洋戦争末期。アメリカ軍はマクベイ艦長率いる重巡洋艦インディアナポリス号にある極秘任務を与える。それは長きに渡る大戦に終止符を打つ最終兵器。原子爆弾の輸送であった。危険極まりない戦地へと旅立ったマクベイと兵士たちは、日本軍との激しい戦闘を掻い潜りながらなんとか目的地テニアン島にたどり着くのだった…。,"アクション,戦争,ヒューマンドラマ"
カイト／KITE,金融危機により崩壊した近未来。そこでは少女たちが人身売買組織に性の奴隷として売りさばかれていた。その中のひとりで、幼くして組織に両親を殺されたサワは、父の親友であり相棒だった刑事アカイに、暗殺者として育てられる。彼女の目的は両親の仇である人身売買組織への復讐。娼婦に成りすまし、一人、また一人と男たちを暗殺していくサワと、犯行現場の証拠隠滅を繰り返すアカイ。しかし、心も体も傷だらけになった彼女を待ち受けていたのは、予想を裏切る残酷な真実だった…。,"アクション,SF"
パトリオット･ウォー ナチス戦車部隊に挑んだ28人,1941年、“バルバロッサ作戦”が開始されナチスドイツがロシアに侵攻。11月には、モスクワは大軍に包囲されようとしていた。首都郊外のヴォロコラムスクを守備していたパンフィロフ将軍指揮下の第4中隊は、ドイツ軍装甲師団による猛攻撃に直面する。圧倒的な敵の攻勢の前に、部隊は瞬く間に壊滅状態に。,"戦争,アクション"
星の王子さま,アントワーヌ･ド･サン=テグジュペリが無垢なる心を簡潔な文章で描いた名作を、サハラ砂漠を舞台に、アラン･ジェイ･ラーナーとフレデリック･ロウの音楽がその気分を高めてくれる。,"キッズ,ファンタジー,音楽／ライブ"
ネオン･デーモン,誰もが目を奪われる特別な美しさに恵まれた16歳のジェシーは、トップモデルになる夢を叶えるために、田舎町からロスへとやって来る。すぐに一流デザイナーやカメラマンの心をとらえチャンスをつかむジェシーを、ライバルたちが異常な嫉妬で引きずりおろそうとする。やがて、ジェシーの中に眠る激しい野心もまた、永遠の美のためなら悪魔に魂も売り渡すファッション界の邪悪な毒に染まっていく―。,"サスペンス／ミステリー,ホラー"
モンスター上司2,ニック、デール、カートの3人は独立してビジネスを立ち上げることを決意するが、悪徳投資家の口車に乗せられてすっからかんに。そこで会社を取り戻すため、彼らはとんでもない作戦を決行する。過激なジョーク満載で、前作よりさらにヒートアップ!,コメディ
マイノリティ･リポート,テクノロジーが進歩した近未来。警察は、殺人犯が殺人を犯す前に逮捕できるようになっていた。ところがある日、この犯罪予知部門に勤める刑事自身が容疑者となってしまう。,"SF,サスペンス／ミステリー,ヒューマンドラマ"
インサニティ,独立記念日の休暇を利用して、ワシントンコーストそばの離島へ旅行に来た三組のカップルたち。最高のバカンスに胸躍らせ森の中にあるキャビンにたどり着く。若者特有のハイテンションな乱痴気騒ぎが始まるなか、パーティーを盛り上げるために一人が持参したドラッグを口にした五人は次第に威嚇的な態度をとり始める。実はドラッグの中には、右翼系テロリスト集団が開発した恐ろしい新種が混じっていたのだった…。唯一ドラッグを拒否したブリーは不安になるが、そんな心配をよそにドラッグを摂取し続けた五人はやがて互いを攻撃し始め、血にまみれた恐怖の宴が始まるのだった―。,"ホラー,サスペンス／ミステリー"
セイブ･ザ･ダイナソー,平凡な田舎町に住む少年ジェイクはある晩、森でスライム状の物質を発見し家に持ち帰り、それを分析していると、そこから小さなかわいい恐竜が誕生した。ジェイクは恐竜をマグナスと名付け飼うことにする。いっぽう町では怪奇現象解明のため環境保護庁からフレッド博士が派遣される。不思議な生き物の死骸も提出されるが、そこに現れた軍のロデリック大佐がその死骸を軍の基地に持ち帰ってしまう。その間にもマグナスは日に日に驚異的なスピードで成長を続け、いよいよ部屋に隠し通すことが難しくなったジェイクは、巨大化した恐竜を古いトンネルに移動させることにするが、そこでロデリック大佐たちが進める新生物開発の陰謀に巻き込まれてしまう! フレッド博士とマグナスを軍に奪われたジェイクは、彼らを助け出すべく仲間たちと陸軍基地に侵入するが…。,"アドベンチャー,SF,ファミリー"
ボン･ボヤージュ ～家族旅行は大暴走～,待ちに待った夏休み、4人家族のコックス一家はおじいちゃんと共に、パパ自慢のピッカピカの新車でバカンスへ。しかし出発直後、ブレーキが制御不能に…時速160kmでハイウェイを大暴走!! 役立たずの無能警官、能天気なカーディーラー、追走する怒り心頭男、後部座席に隠れていた謎の不思議ちゃん?? などを巻き込み、車内はパニック状態に!! さらに絶体絶命の“密室”で明かされる“秘密”に家族は崩壊寸前!! そして向かう先には未曾有の大渋滞が!! 果たしてコックス一家の運命は?!,"コメディ,アクション,ヒューマンドラマ"
アメリ,子供の頃から空想好きなアメリ･プーラン。そのまま大人になった彼女の好きなことは、河での水切りやクレームブリュレの焦げを割ること、そしてまわりの誰かを今より少しだけ幸せにすること。そんな少し風変わりで、自分の事には不器用なアメリがある青年に恋をして…。,"恋愛,ヒューマンドラマ"
INFINI／インフィニ,近未来、人類の大多数は貧困にあえいでいた。一方で世界は「スリップストリーム」という遠くの惑星まで個人を転送させる革命的技術を発明していた。リスクを伴いながらもその技術を使用して惑星にある炭鉱で働くことが、貧困から抜け出す唯一の手段だった。ウィット･カーマイケルも、貧困から抜け出すため「スリップストリーム」を使用するも、その時異常事態が発生し、最も危険な基地、INFINIへ転送されてしまう。唯一残されたウィットを救出するために早速別チームが地球からINFINIへ派遣される。しかしそこで待っていたのは謎の病原菌に感染し命を絶たれた死体たちだった。果たしてウィットやチームのメンバーは愛する者が待つ地球に帰ることができるのだろうか!?,"SF,サスペンス／ミステリー"
ディスタービア,主演は映画「トランスフォーマー」シリーズで人気を博したシャイア･ラブーフ。学校で暴力事件を起こし3ヵ月の自宅軟禁を命じられた高校生ケールは、退屈しのぎに隣人の生活を覗いていた。ところがこの暇つぶしのせいで、大変な事件に巻き込まれることになる。,サスペンス／ミステリー
マグノリア,舞台はロサンゼルス郊外、映画、テレビ関係者が多く住むサンフェルナンド･バレー。人気長寿クイズ番組を通して、お互いを知らないままつながりを持つ男女の様々な人生模様を描きながら、幸せとは? 許しとは? を問う。トム･クルーズ演じる性のカリスマ伝導者や、彼の父親で死期を迎えたTVプロデューサー、ジュリアン･ムーア演じるその後妻、看護師、子供のころクイズ王だったダメ男、今、天才と騒がれている少年などの不思議なめぐり合わせが描かれた群像劇。ポール･トーマス･アンダーソン監督･脚本。,ヒューマンドラマ
パッセンジャーズ,飛行機事故で奇跡的に生き残った5人の乗客。セラピストのクレアは乗客の記憶から浮かび上がる数々の謎を解き明かそうとする。しかし、事故の核心に近づくたびに5人の生存者が次々と失踪し、彼女の周辺でも不可解な事が続発しはじめる。錯綜する現実に翻弄され、自分さえも見失ってしまうクレア。これは偶然か、それとも仕組まれた罠なのか? 彼女だけが知らなかった驚愕の真相とは―。,サスペンス／ミステリー
ザ･ファーム／法律事務所,貧しい過去を捨てようとハーバード大卒のエリートが就職先に選んだ法律事務所には、恐るべき“裏の顔”があった…。,"サスペンス／ミステリー,ヒューマンドラマ"
メガ･シャーク VS メカ･シャーク,エジプト･アレクサンドリア港。一艘の貨物船が、巨大な氷山を輸送していた。そして水温の高い海域に入った時、突如氷山がひび割れ、その中から巨大なサメが現れる。それは、過去にニ度も世界を滅亡の危機に至らしめた、“メガ･シャーク”であった。海底の奥深くで息絶えたものだと思われていたが、三度現れた“海の王者”は、その獰猛さが増したかのように各地で暴れ回る。国連は、すぐさま世界の全海域を封鎖。まだ試運転前であった史上最強の兵器“メカ･シャーク”を、急遽出動させるが…。,"アクション,パニック"
彼が二度愛したS,愛と金と欲望が渦巻くNY。この騙し合いに勝つのは誰? NYの孤独な会計士ジョナサン (ユアン･マクレガー) はある日弁護士のワイアット (ヒュー･ジャックマン) と出会い、NYエグゼクティブのためだけに存在する秘密の会員制セックス倶楽部を知る。ジョナサンは美しい女たちとの一夜限りの情事にハマっていく。ある日、以前地下鉄で一目惚れしたミステリアスな女性“S”(ミシェル･ウィリアムズ) が倶楽部の相手としてやってきて、本気の恋に落ちていく。しかし彼女は突然ホテルから姿を消し、ベッドには血痕が残っていた…。,"サスペンス／ミステリー,ヒューマンドラマ"
ユージュアル･サスペクツ,銃器強奪事件の面通しで集められた五人の前科者を主人公に、歯車の狂い始めた犯罪計画を卓越した構成で描いたサスペンス･ミステリー。,サスペンス／ミステリー
アクア･クリーチャーズ,ミシガン州シャルルボア。平和な湖畔の町で、遊泳客の水難事故が続発。調査を開始した生物局のマイケルは、大量発生したウミヤツメが人間を襲っていることを知る。警告を発するが、水道管に侵入したウミヤツメは、街中にも出現。市民が次々と犠牲になり、シャルルボアは大パニックに陥る。このままウミヤツメの大群がミシガン湖に侵入すれば、危機はアメリカ全土におよぶ。マイケルは群れを一箇所に誘導し、高圧電流で駆除する作戦に挑むが…。,"ホラー,パニック,アクション"
G.I.ジョー,G.I.ジョーは世界各国から最高の兵士を選りすぐった機密戦闘部隊だ。ある秘密兵器が悪の組織コブラによって盗まれた。果たしてG.I.ジョーは、コブラの陰謀を阻止し、世界を破滅から救えるか?,"アクション,サスペンス／ミステリー,SF"
ガーディアンズ 伝説の勇者たち,世界を恐怖で支配しようとする悪者ピッチ。子供たちの夢と希望を守るため立ち上がったガーディアンズたち! 不思議の国のジャック･フロストとその仲間であるイースターバニーやサンタクロース、トゥース･フェアリー、サンドマンの行く手に何が待ち受けるのか!?,"アニメ,ファンタジー,キッズ"
メガ･シャーク VS グレート･タイタン,メガ･シャークの襲撃から1年後。世界は経済危機に陥り、国際情勢の緊張は高まるばかりだった。そんな中、大西洋沖で不法採掘をするロシアの漁船が、巨大なサメを引き上げる。そのサメは、メガ･シャークの卵から再生された新メガ･シャークだったのだ。一方ウクライナでは、テロリストの手によりもう1つの脅威が目覚めようとしていた。それは、旧ソ連がアメリカとの核戦争に備え発明した、巨人型兵器「コロッサス」だった…。,"パニック,アクション"
ウォール･ストリート,2001年、8年の服役を終えたゴードン･ゲッコー。カリスマ投資家の面影は消え、すっかり過去の人と成り果てていた。そして2008年、ウォール街の若き金融マン、ジェイクの会社が突然破綻した。心の師である経営者は自殺し、ジェイク自身も資産を失ってしまう。それが金融業界の黒幕ブレトンの陰謀だと知ったジェイクは、復讐を誓い、ゲッコーに助言を求める。しかし、ゲッコーはジェイクの最愛の恋人ウィニーの父親でもあった。ゲッコーは絶縁状態のウィニーとの仲を取り持つことを引替条件に、ジェイクと手を組むことに同意するが…。,"ヒューマンドラマ,サスペンス／ミステリー"
スーパーエイト,1979年、オハイオの小さな町で保安官の父と暮らす少年ジョーはある夜、仲間たち5人と8ミリ映画の撮影にでかけていた。その撮影中に偶然、米軍の貨物列車の大事故に遭遇してしまう。そして、カメラにはアメリカが絶対に秘密にしなければいけない、“何か”が撮影されていた。米軍は極秘情報が何者かに目撃されたと町中の捜索が始め、ほどなくして、彼らの街では不可解な出来事が次々に発生する。,"アドベンチャー,SF"
スター･トレック ディレクターズエディション,すべての伝説はこの作品から始まった―もはやTVシリーズを超えて文化となった人気SFシリーズ「スター･トレック」の映画化第1作。“雲状の未知の生命体”から地球を救うため出発したカーク艦長率いるエンタープライズ号のクルーが遭遇したものは…。いま人類の壮大な冒険の幕が開く!,"アドベンチャー,SF,アクション"
コロニア,フライトでチリを訪れたドイツのキャビンアテンダント･レナは、現地の政情を確認するために滞在していた恋人･ダニエルと束の間の逢瀬を楽しんでいた。しかし、突如チリ軍部によるクーデターが発生。ダニエルは反体制勢力として捕らわれてしまう。レナは、謎の施設〈コロニア･ディグニダ〉に彼が監禁されたことを突き止めるが、なんとそこは“教皇”と呼ばれるナチスの残党、パウル･シェーファーが軍部と結びつき、神の名の下に暴力で住人を支配する“脱出不可能な”要塞だった。誰からの協力も得られないと悟ったレナは、ダニエルを助け出すため、ひとり無謀な潜入を決心する。果たして、彼女は生きて愛する人を奪還することができるのか―。,サスペンス／ミステリー
TAXi4,大人気「TAXi」シリーズ第4弾!! エミリアンとダニエルのコンビが今度はモナコへ! エミリアンには、全欧州から指名手配されるヨーロッパ最強の凶悪犯、通称「ベルギーの怪物」をジベール署長と引き取りに行くという大きな仕事が待っていた。無事に署に連れてきたところまでは良かったが、逃亡されてしまう。リュック･ベッソン制作、ジェラール･クラヴジック監督のフレンチ･カーアクション。,"アクション,コメディ"
クール･ワールド,出所したジャック (ガブリエル･バーン) はバーの後ろで、「クール･ワールド」を描くことにより、逃げ道を見つけた。それは官能的で意地の悪い女、ホリー･ウッドが主人公のマンガのシリーズだ。ホリー (キム･ベイシンガー) は人間になりラスベガスへ行くと、ふたつの世界を超えての行き来が、両方の世界を脅かす。,"ファンタジー,アドベンチャー,アニメ"
スパルタンＸ,スペイン･バルセロナ。カンフーの達人トーマスとデビッドは、ある日、怪しい男たちに追われる謎の美女シルビアを助ける。友人のヘボ探偵･モビーの手を借り、実はシルビアが伯爵の娘で、彼女の遺産を狙う伯爵の弟が一味の黒幕だと知ったトーマスたち。だが度重なる激しい襲撃に、ついにシルビアがさらわれてしまう。3人は彼女を助けるため、最強の戦闘集団と壮絶な肉弾戦を繰り広げる!,"アクション,コメディ"
メガ･シャーク VS ジャイアント･オクトパス,アラスカ沖チュトコ海にて行われた航空ミサイル軍の極秘実験。その影響で万年氷が崩壊し、二体の巨大生物が古代からよみがえった。海洋学者のエマは、それが150万年前に絶滅した最大のサメ「メガロドン」と、巨大なタコである事を突き止める。長い眠りから覚めた怪物たちは、それまで封印された力を解き放つかのように、世界各地の海域で大暴れする。,"パニック,アクション"
スピーシーズ／種の起源,1974年、世界最大の天文台から、地球と人類に関する情報が宇宙に向けて発信された。その中には、人類の容姿や生息地に加え、人類を形成するDNA配列も含まれていた。そして20年後、驚くべきことが起きた。その返事が来たのだ。その何者…もしくは何物かが、人類の存在を見つけたのだ。そこにはDNA塩基配列の情報が含まれており、人類のDNAとの結合方法についても記されていた。人類は、自らを制御可能と見なし、DNA結合も成功させられると考えた。人類こそ支配力を持つ存在であると信じて。しかし、それは間違いであった…。,SF
フレンチ･ラン,パリ、革命記念日前夜、市街で爆弾テロが発生。容疑者として浮上したのは、スリの若者マイケル。捜査を担当することになったCIA捜査官ブライアーは、イラクで命令を無視し、テロリスト6名を射殺した当局きってのアウトロー。いち早くマイケルを確保したブライアーは、彼が無実であることを感じ取る。ブライアーはマイケルの抜群のスリテクニックを買い、自らの無実を証明するために、捜査に協力することを持ちかける。誕生した“CIAとスリ”による前代未聞のコンビは、真犯人を探すため、パリの街を疾走する! そして、「36時間後の革命記念日にパリの街を制圧する」という犯行声明が出たことから、事件はフランスの国家的危機へと発展していく―。真犯人は誰なのか? 事件に隠された巨大な陰謀とは―?,"アクション,サスペンス／ミステリー"
ムービー43,舞台はハリウッド。喉に●●タマをぶら下げた事業家や、結婚直前にとんでもない性癖をぶちまけた美女とそれに応えようとする彼氏、バットマンに合コンを邪魔された赤タイツ男ロビン、女裸体型音楽プレーヤーiBabeを開発してしまった奇才、彼氏の家でうっかり初潮を迎えてしまった少女、汚い大人たちに捕えられたこびと妖精レプラコーン、彼氏の飼っているゲイ猫に苦しむ彼女など、奇妙な人々が次々に登場。果たして、彼らは一つの運命の輪に結びつくのか?!,コメディ
かいじゅうたちのいるところ,マックスは8歳になる男の子。ある晩、ママに怒られて、泣きながら家を飛び出した。気がつけば見知らぬ浜辺。マックスは目の前にあったボートに飛び乗り、ひとりで海へ漕ぎ出した。やがてボートはひとつの島にたどり着く。島の奥へと入っていくと、そこにいたのは…見たこともないかいじゅうたち! マックスを食べようとするかいじゅうたちに、マックスはとっさに嘘をつき…。,"ヒューマンドラマ,ファンタジー,キッズ"
帰ってきたヒトラー,ヒトラーの姿をした男が突如街に現れたら?「不謹慎なコスプレ男?」顔が似ていれば、「モノマネ芸人?」。リストラされたテレビマンに発掘され、復帰の足がかりにテレビ出演させられた男は、長い沈黙の後、とんでもない演説を繰り出し、視聴者のドギモを抜く。自信に満ちた演説は、かつてのヒトラーを模した完成度の高い芸と認識され、過激な毒演は、ユーモラスで真理をついていると話題になり、大衆の心を掴み始める。しかし、皆気づいていなかった。彼がタイムスリップしてきた〈ホンモノ〉で、70年前と全く変わっていないことを。そして、天才扇動者である彼にとって、現代のネット社会は願ってもない環境であることを―。,"コメディ,ファンタジー"
her／世界でひとつの彼女,そう遠くない未来のロサンゼルス。ある日セオドアが最新のAI (人工知能) 型OSを起動させると、画面の奥から明るい女性の声が聞こえる。彼女の名前はサマンサ。AIだけどユーモラスで、純真で、セクシーで、誰より人間らしい。セオドアとサマンサはすぐに仲良くなり、夜寝る前に会話をしたり、デートをしたり、旅行をしたり…一緒に過ごす時間はお互いにとっていままでにないくらい新鮮で刺激的。ありえないはずの恋だったが、親友エイミーの後押しもあり、セオドアは恋人としてサマンサと真剣に向き合うことを決意する。,"SF,恋愛"
ジュピター,偉業を成し遂げる宿命を持つ星座に生まれたジュピターだが、現実は毎日ひたすら働いていた。ある日何者かに襲われ、突然現れた強靭な戦士に助けられたジュピターは、自分が宇宙最大の王朝の王族だと知らされる。彼の名はケイン、遠い星の遺伝子操作によって生まれた、身分は最下級だが戦いに勝つためだけに作られた究極の戦士だ。王朝では今、3人の継承者たちが支配権を争っていた。彼らは亡き母と同じ遺伝子配列を持つジュピターが、生まれ変わりとして引き継ぐ地球を狙っていた。10万年前から支配してきた全人類を、今まさに滅ぼそうとしているのだ。ジュピターとケイン、身分違いのため決して結ばれない運命の2人が今、人類の危機に立ち向かう―!,"アクション,SF"
ドリームハウス,購入したばかりのマイホームで小説を書きながら、美しい妻と二人の娘たちとともに人生を過ごすことを決意したウィル･エイテンテン。しかし、会社を辞め、平穏で幸せな生活を築いていこうとした矢先、一家に不幸が訪れる。娘が幽霊らしきものを見たとおびえたり、謎の男が自宅を覗きこんでいたり、自宅の地下に侵入した少年少女たちが怪しげなミサを行っていたり…。違和感をおぼえる奇怪な出来事が相次ぐのだった。そしてその原因は、5年前に起きた殺人事件にあるのだが…。,"サスペンス／ミステリー,ヒューマンドラマ"
GODZILLA,「インディペンデンス･デイ」のスタッフによるハリウッド版ゴジラ映画。NYを舞台に、怪獣というより恐竜に近いGODZILLAがマンハッタンを破壊し尽くし、卵も産む。生物学者ニックはパナマで発見された巨大生物の足跡を調査していた。そこへ、NYに謎の巨大生物＝ゴジラが出現したと知らせが届くが、駆けつけた時には姿を消していた。残された手がかりから、ゴジラは妊娠していることが判明する…。,"SF,パニック,アクション"
フルスロットル,2018年、デトロイト。郊外にある“ブリックマンション”と呼ばれるエリアは、暴力とドラッグがはびこる無法地帯―その中は、まさに“弱肉強食”の世界となっていた。腕利きの潜入捜査官ダミアンは、優秀な警察官だった父親を“ブリックマンション”のボス、トレメインに殺されており、その復讐に燃えていた。,"アクション,ヒューマンドラマ"
クラウド アトラス,主人公は、6つの時代と場所で、6つの人生を生きる男。その人生は悪人で始まるが、様々な数奇な経験を経て、ついには世界を救うまでに魂が成長していく男の物語だ。2度のアカデミー賞に輝く名優トム･ハンクスが、これまでのキャリアのすべてを注ぎ、次第に変化していくキャラクターを演じ切る。舞台は、19世紀から24世紀。過去･現在･未来にまたがる500年の間の6つのエピソードが、一見アトランダムな流れに見えて、実はシーンからシーンへのつなぎの一つ一つが完璧に計算された、圧倒的な映像で描かれていく。,"ファンタジー,SF,ヒューマンドラマ"
ウエスト･サイド物語,ダンス･音楽･演出、総てが秀逸! いつまでも愛され、映画史上に燦然と輝くミュージカルの最高傑作! ニューヨークのダウン･タウン、ウエスト･サイド。移民の多いこの街では、リフをリーダーとするヨーロッパ系移民のジェット団と、ベルナルドが率いるプエルトリコ移民のシャーク団が何かにつけ対立していた。ある日、ベルナルドの妹･マリアは初めてのダンスパーティに出かける。マリアはそこで一人の青年に心を奪われる。しかし、それは許されない恋だった。彼の名はトニー、対立するジェット団の元リーダーだった…。,"恋愛,青春,ヒューマンドラマ"
ロボコップ2,ロボコップの生みの親である悪徳巨大企業は、街を私物化すべく秘密裏に新型ロボコップを開発。大型でパワーアップしたロボコップ2を後任に据えようと企んでいるのだ。,"SF,アクション"
レジデント,デンマークの首都コペンハーゲンからほどなく北にある閑静な住宅街。平和な日常が流れるこの町に、突如不穏な空気が漂う。はじまりは、不審死を遂げた老人の死体が消えたこと。その一件から、パトカーが何台も街を駆け抜け物々しい雰囲気になる。ついに街は制限区域となり、ここに住むディノ一家をはじめ住人たちは家から出ることを禁じられる。テレビでは、この区域に原因不明の感染病が蔓延していると報じていた。しかし、ディノの息子グスタフは、恋人のソニアに会うため夜中に家を抜け出してしまう。そこで彼が見たものは、感染者となり街をさまよう近所の住人たちと、彼らを銃殺する国防軍の姿だった…。,"ホラー,パニック"
ミュータント･タートルズ,大ヒットした本作のタートルズは体も大きくなりクールになっている。さらにノンストップ･アクションと笑いが満載! ピンチに陥ったニューヨークを救うのは、ピザ好きな4人の兄弟たちだ。,"アクション,アドベンチャー,コメディ"
地獄の7人,ジーン･ハックマンが、息子救出に命を賭けるジェイソン･ローズ大佐を演じる圧倒的なアクション･アドベンチャー。ジェイソン･ローズは10年以上もベトナム戦争での戦闘中行方不明兵士リストに名が上がっている息子の捜索にあたっているが、何の成果も得られず悪夢の日々を送っていた。情報を得ようと政治家に嘆願しても無駄だと見切りをつけた彼は、自分の手で打開しようと決意する。,"ヒューマンドラマ,アクション,戦争"
恋人たちの予感,ハリーとサリーの友情は独特だった。サリーがデリでオーガズムに達するふりをしたり、 「シェルドン」 という名の男性と最高のセックスをしたかの議論したり…。 ハリーとサリーは何でも2人を共有する。あることを除いては…。,"恋愛,コメディ"
メガマインド,悪役のメガマインドは、ついに宿敵のヒーロー、メトロマンを倒す…。しかし正義のヒーローがいなければ、自分の生きる意味はないことに気づく。,"キッズ,アニメ,SF"
TAXi3,マルセイユ警察のエミリアンは8ヶ月もの間、謎の銀行強盗集団を捕まえられずやられっぱなし。タクシー運転手、ダニエルも愛車の改造に熱中するあまり、恋人に愛想をつかされてしまう。そんなある日、銀行強盗集団の一員を発見したダニエルとエミリアンは尾行の末、敵のアジトを突きとめるが、逆にエミリアンが敵に誘拐されてしまう。,"アクション,コメディ"
サンズ･オブ･ザ･デッド,ゾンビが蔓延した終末世界―。ゾンビの脅威にさらされた町から脱出するため、モリーは恋人のニックとエアフィールドへ向かっていた。しかし道中、ニックが無残にもゾンビに食い尽くされ、モリーはたった一人、貪欲なゾンビと共に砂漠に取り残されてしまう。ゾンビの動きは鈍く、容易く逃れることに成功したモリーだったが、そのゾンビは眠ることもなく、ただひたすらモリーの後をつけ回す。砂漠での過酷な状況下、モリーの体力は消耗し切り、わずかな食糧も底をつき始め…。,"ホラー,パニック"
メットガラ ドレスをまとった美術館,ファッショニスタが注目する伝説のイベント《メットガラ》。そのイベントを主催するのは“プラダを着た悪魔”ことアナ･ウィンター。彼女の人脈で会場に訪れるのは、リアーナ、レディ･ガガ、アン･ハサウェイ、ジャン=ポール･ゴルチエなどの豪華セレブリティたち。そしてセレブらを魅了する、メトロポリタン美術館を舞台にした、豪華絢爛な服飾コレクション。《ファッション界のアカデミー賞》に密着した映像に、思わずため息がこぼれる至福の91分!,ドキュメンタリー
ミザリー,スティーブン･キングの小説に基づいた作品。自分のファン、アニー･ウィルクスに命を助けられた有名ロマンス小説家のポール･シェルダンだが、彼はそれを恨むこととなる。自分のお気に入りの登場人物のミザリーが最新作の中で殺されることを知ったアニーは、ポールに彼女の復活を迫る。まさに命がけで作品を執筆しなければならないポールだが…。,サスペンス／ミステリー
ダム･キーパー 短編映画,時は、世界が大気汚染に覆われた時代。汚れた大気と暗雲の影響を受けずに、生きながらえてきた小さな街があった。街は大きなダムによって、その呪われた大気から守られていた。主人公はブタの少年。家族も、友達もいない。家族代々受け継がれて来たダム･キーパーの仕事は、今は少年一人によって行われていた。その仕事は8時間に一度、歯車のネジを巻いて風車を動かす事で、汚染された空気をダムの外側に追い出すことだった。長い間平和ボケした街の人たちは、ダムが誰によって動かされているのか、そもそもダムの向こう側に何があるのかすら、忘れてしまっていた。そんなある日、彼の学校にキツネの転校生がやってくる。絵を描く事が好きで、天真爛漫なキツネとの出会いは、少年のその後の人生を大きく変えるきっかけとなる。,"キッズ,アニメ,ファミリー"
ジーパーズ･クリーパーズ,23年前、カップルがドライブ中に行方不明になり、死体がいまだに見つかっていないという都市伝説がある町。この町に春休みで帰省した大学生トリッシュは不気味なトラックを目撃する。そして23年前の都市伝説が現代に復活する。はたして謎の男の正体は何なのか?,"ホラー,サスペンス／ミステリー"
博士と私の危険な関係,19世紀のパリ。ある屋敷で働く19歳のメイド、オーギュスティーヌは、激しいけいれんを起こして倒れた。その後も発作をくり返し、やがて右目のまぶたが開かなくなり、片腕は硬直麻痺した。病院に入院して、評判の高い神経科医シャルコー博士の診察を受けると、彼女に興味をもったシャルコーは催眠療法を試みる。だがそれは、アカデミー会員の前で催眠術による発作の再現を行う、まるで見世物だった。症状は治らず、不安と屈辱感をかかえながらも、オーギュスティーヌはシャルコーに愛情を感じ始める…。,恋愛
ファッションが教えてくれること,映画『プラダを着た悪魔』のモデルといわれる「ヴォーグ」編集長のアナ･ウィンターに密着。ファッション特大号(9月号)が発売されるまでを描いたドキュメンタリー。,ドキュメンタリー
大脱走,スティーブ･マックィーン他豪華キャストで贈る不朽の名作! 第二次大戦下、脱走不可能といわれていたドイツのスタラグ･ルフト北捕虜収容所から、連合軍将兵250人が集団脱走を計画、実行した! この信じられないような史実を『荒野の七人』の巨匠ジョン･スタージェスが豪華オールスター･キャストを配して映画化。,アクション
ロボコップ3,ロボコップを製造したオムニ･コンシューマ･プロダクツは、デトロイトの大半を占める住民を追い出し、輝かしい未来の街を建設しようと計画。ロボコップことマーフィは、デトロイト警察を去った後、天才コンピューター少女の協力や破壊力抜群の最新鋭の武器を手に入れ、反乱市民軍と共に街を守るべく戦う。,"SF,アクション"
ビッグ･アイズ,ティム･バートンも驚いたウソのような本当の話。その絵に描かれた“サイン”には、POPアート界を揺るがす秘密が隠されていた! ポップ･アート全盛期の1960年代、世界中で一大ブームを巻き起こした、どこか悲しげな大きな目をした子どもたちを描いた〈ビッグ･アイズ〉シリーズ。ウォルター･キーンは、その作者として一躍有名人となった。しかし、実はその絵画は1枚残らず全て、内気で口下手なウォルターの妻･マーガレットが描いたものだった!,"ヒューマンドラマ,史劇"
ザ･レジェンド,12世紀、十字軍の騎士として一騎当千の活躍により「最強」の名を手に入れた二人の男、ガレイン (ケイジ) とジェイコブ (クリステンセン)。しかし彼らはその無益な戦いに疲れ果て、極東･中国の地へ旅立った―。彼の地では皇帝が長男シン (オン) に暗殺され、後継ぎ争いに巻き込まれた弟の皇子とその姉 (イーフェイ) は命を追われる身となっていた。偶然彼らを助けたことで、王族を護衛することになったガレインとジェイコブだったが、追っ手はすぐ後ろに迫っていた。シンの脅威は止むことなく、絶体絶命の中、ジェイコブとガレインは彼らを迎え撃つ覚悟を決める―。,"アクション,アドベンチャー,史劇"
