タイトル,あらすじ,ジャンル
映画かいけつゾロリ ZZ (ダブルゼット) のひみつ,朝一番にドーナツ屋さんに並ぶため、“目覚まし時計”型のゾロリ庵で寝ていたゾロリとイシシ&ノシシ。3人はひょんなことから異空間に吸い込まれてしまった! 行きついた先は見知らぬ町。そこで出会ったすてきなレディにゾロリが恋心を抱いたのもつかの間、「ゾロリーヌ」と名乗った彼女は、なんと若き日のゾロリママだった! ゾロリたちは過去にタイムスリップしてしまったのだ!! 突然あらわれた謎のかいじゅうに飲み込まれてしまったゾロリーヌを取り戻すため、宝探しから帰ってきたトレジャーハンターのゾロンド･ロンとともに奮闘するゾロリたち。はたしてゾロリたちは無事、ゾロリーヌを助けることができるのか? そして「ZZ (ダブルゼット)」マークにかくされたひみつとは? かいけつゾロリ誕生のひみつが、今、ここに明かされる!!,"キッズ,アニメ,ファミリー"
冷たい熱帯魚,熱帯魚店を営んでいる社本と妻の関係はすでに冷え切っており、家庭は不協和音を奏でていた。ある日、彼は人当たりが良く面倒見のいい同業者の村田と知り合い、やがて親しく付き合うようになる。だが、実は村田こそが周りの人間の命を奪う連続殺人犯だと社本が気付いたときはすでに遅く、取り返しのつかない状況に陥っていた。園子温監督による金字塔的傑作!,"アクション,サスペンス／ミステリー"
一週間フレンズ。,高校2年生の祐樹は、初めて会った日から惹かれていた同級生･香織に、思い切って「友達になって下さい」と声をかける。が、香織は必死で祐樹を拒む。実は彼女には“友達のことを一週間で忘れてしまう”という記憶障害があった。それでも香織のそばにいたいと願い、毎週月曜日、記憶がリセットされるたびに、香織に会いに行く祐樹。二人は交換日記を始めて、少しずつ距離を縮めていく。が、そんなある日、香織の過去を知るまゆと、転入生の九条が現れて―。,"恋愛,青春"
そこのみにて光輝く,仕事を辞めて何もせずに生活していた達夫 (綾野剛) は、パチンコ屋で気が荒いもののフレンドリーな青年、拓児 (菅田将暉) と出会う。拓児の住むバラックには、寝たきりの父親、かいがいしく世話をする母親、そして姉の千夏 (池脇千鶴) がいた。達夫と千夏は互いに思い合うようになり、ついに二人は結ばれる。ところがある日、達夫は千夏の衝撃的な事実を知り…。,"ヒューマンドラマ,恋愛"
植物図鑑 運命の恋、ひろいました,東京で一人暮らしをしている23歳のさやかは、普通の女の子。ある冬の夜、アパートの前で動けなくなっている、樹に遭遇する。酔っぱらっていたさやかはどうせ夢の中のできごと、と、お腹をすかせた樹を家にあげる。翌朝、さやかが目を覚ますと、キッチンには樹が作った朝食が並べられていた。そして、樹に家事全般を担ってもらうことを条件に「半年間」という期限付きの同居生活が始まる。樹は「ただの雑草」としか認識していなかった野草の名前をさやかにやさしく教え、休日には一緒に河原や土手に行き、「野草狩り」をした草花で美味しい料理を作ってくれる。さやかはそんな樹に惹かれ、「好き」という気持ちが溢れ出し告白する。それは樹も同じ気持ちだった。しかし、彼には、さやかに伝えられない、ある秘密があった。,"恋愛,ヒューマンドラマ"
何者,朝井リョウが直木賞を受賞し、大きな話題を呼んだ原作の映画化作品。ひとつの部屋に集まった5人の男女。大学の演劇サークルに全力投球していた拓人。拓人がずっと前から片想いをしている瑞月。瑞月の元カレで、拓人とルームシェアをしている光太郎。拓人たちの部屋の上に住んでいる、瑞月の友達の理香。就活はしないと宣言する、理香と同棲中の隆良。理香の部屋を「就活対策本部」として定期的に集まる5人。それぞれが抱く思いが複雑に交錯し、徐々に人間関係が変化していく。「私、内定もらった…。」やがて「裏切り者」が現れたとき、これまで抑えられていた妬み、本音が露になっていく。人として誰が一番価値があるのか? そして自分はいったい「何者」なのか?,"ヒューマンドラマ,青春"
さくらん,本作で初メガホンを持った写真家の蜷川実花が、安野モヨコの漫画を映画化。華やかな江戸時代の吉原遊郭を舞台に、8歳で吉原に足を踏み入れ、やがて伝説の花魁(おいらん)となった女性の生き様を極彩色の映像美で描く。,ヒューマンドラマ
仮面ライダー×スーパー戦隊 超スーパーヒーロー大戦,突如現れた超巨大浮遊要塞が総攻撃を開始、世界の大都市が壊滅状況に陥ってしまう。仮面ライダーエグゼイド、宇宙戦隊キュウレンジャーが迎え撃つも圧倒的な大きさと数に勝る謎の敵に全く歯が立たない。だが、窮地を救うヒーローが現れる。死んだはずの九条貴利矢と見たこともないヒーローの勇姿…。敵はどこから、一体何のために来たのか? 命を落としたはずの者たちがなぜ現れたのか? そして勝利の行方は? この途方もない強敵に打ち勝つカギは、ヒーローたちが新たな力を手にすること。異空間でレベルアップを繰り返し、「最強」を超えた「最強」のヒーローが誕生する時、想像を絶する奇跡が起きる!,"特撮,アクション,キッズ"
ふがいない僕は空を見た,高校生の卓巳 (永山絢斗) は “あんず”と名乗る里美 (田畑智子) と知り合い、コスプレをして情事に耽るようになるが、その写真や動画が何者かにばら撒かれてしまう。情事を知った彼女の夫がばら撒いたらしい…。助産師である卓巳の母 (原田美枝子)。痴呆症の祖母と暮らし、極貧の生活に耐える卓巳の親友･福田 (窪田正孝) などそれぞれが抱える思いと苦悩がリンクし合い、一筋の光が見えるラストに収束していく…。,"ヒューマンドラマ,青春"
彼女がその名を知らない鳥たち,15歳年上の男･陣治と暮らしながらも、8年前に別れた男･黒崎のことが忘れられずにいる女･十和子。不潔で下品な陣治に嫌悪感を抱きながらも、彼の少ない稼ぎに頼って働きもせずに怠惰な毎日を過ごしていた。ある日、十和子が出会ったのは、どこか黒崎の面影がある妻子持ちの男･水島。彼との情事に溺れる十和子は、刑事から黒崎が行方不明だと告げられる。どれほど罵倒されても「十和子のためだったら何でもできる」と言い続ける陣治が執拗に自分を付け回していることを知った彼女は、黒崎の失踪に陣治が関わっていると疑い、水島にも危険が及ぶのではないかと怯えはじめる―。,"サスペンス／ミステリー,恋愛"
青空エール,吹奏楽の名門･白翔高校に入学したトランペット初心者の小野つばさ。全国大会を目指すレベルの高い練習についていけず、何度も挫折しそうになる。そんなつばさを勇気づけてくれる、クラスメートで野球部員の山田大介。励まし合うふたりは、ある「約束」をかわす。いつの間にかつばさには、大介へのほのかな想いが芽生えていた。1年生の夏、地区予選の決勝まで勝ち進んだ野球部を吹奏楽部が応援。ところが途中出場した大介のミスで敗退。グラウンドで立ち尽くす大介のために、つばさは一人でトランペットを吹いてしまい、謹慎処分となる。心配して訪ねて来た大介への想いを抑えきれずにつばさは大介に告白するが、フラれてしまう。大介は、仲間の夢を潰してしまった自分が許せないでいた。ふたりは“両片想い”のままそれぞれの夢を追いかけ…。,"恋愛,青春"
今日、恋をはじめます,日比野つばき (武井咲)、高校1年生。真面目が取り柄のダサダサ女子高生。そんなつばきが、高校の入学式当日、成績トップで学校一のイケメン･椿京汰 (松坂桃李) と隣の席に。しかも、クラスのみんなの前で、突然彼にファーストキスを奪われてしまう。そればかりか、京汰はつばきを「自分の女にする」と言いだして…。軽くて強引な京汰に反発しながらも、彼の優しさに触れて、つばきは京汰を好きになっていく。はじめてのキス、はじめてのデート、はじめての恋…。恋することで少しずつ変わっていくつばき。そして京汰も自分に直球でぶつかってくるつばきの姿に徐々に惹かれはじめ…。,"恋愛,青春"
20世紀少年 －最終章－ ぼくらの旗,“ともだち”復活から2年後の“ともだち暦3年”(西暦2017年)。「世界大統領」として君臨する“ともだち”は「8月20日、人類は宇宙人に滅ぼされる。私を信じるものだけが救われる」と説いていた。一方、“ともだち”の追手から逃れ、身を潜めているかつての仲間たち―オッチョ、カンナ、ユキジ、ヨシツネ、マルオ、ケロヨン―はそれぞれのやり方で、闘いを続けていた。そんな中、東京を囲む壁の向こう側で、ギターを抱えたある男が現れ厳重警備の関所を越えようとしていた―。,"アドベンチャー,ヒューマンドラマ,サスペンス／ミステリー"
ビリギャル,さやか (有村架純) は高校2年生。中学入学以来、全く勉強をしなかったので、ついに成績は学年ビリ。いくらなんでもこのままではマズイと思ったのか、そんな女の子が学習塾にやってきた。でもその姿は金髪、ヘソだし、超ミニスカのギャルメイク。対応した塾講師の坪田 (伊藤淳史) もびっくりの彼女の知識は小4レベル。聖徳太子を「セイトクタコ」と読み、東西南北も分からない。それでも夢は大きく第1志望はチョー難関の慶應大学!(←ゼッタイ無理!)「さやかが慶應なんてチョーウケる～!」。こうしてノリで二人三脚の受験勉強がはじまった! 夜も寝ないで頑張るさやかだが、偏差値70の慶應は甘くない。周囲からはののしられ、成績は伸びず、友達とも遊べない。それでも支えてくれる周囲の人たちのため、さやかは慶應合格に向け走り続ける。,"ヒューマンドラマ,青春"
パラノーマル･アクティビティ第2章：TOKYO NIGHT,制作費135万円で世界180億円を稼ぎ、日本でも6億円の興収を記録する大ヒットとなった「パラノーマル･アクティビティ」の正統続編。アメリカ旅行中に事故に遭った春花は、浪人生の弟･幸一に介護をしてもらうことになる。そんな中、家の中で不可解な現象が多発し…。,ホラー
藁の楯,「この男を殺してください。御礼に10億円差し上げます。」前代未聞の新聞全面広告に日本中が揺れた! 広告主は巨額の資産を持つ財界の大物･蜷川。幼い孫娘を惨殺した男、清丸の首に懸賞金を懸けたのだった。命の危険を感じた清丸は、潜伏先の福岡で出頭。48時間以内に清丸の身柄を警視庁に移送するため、5人のSPと刑事が選ばれる。一般市民、警察官、機動隊員までもが殺意を向けるなか、命懸けの移送が始まる。SPチームは無事に清丸を警視庁に移送することができるのか?,"アクション,サスペンス／ミステリー"
20世紀少年 －第2章－ 最後の希望,“血の大みそか”から15年後の2015年。歴史では、2000年の巨大ロボットによる人類滅亡計画は、悪魔のテロリスト、ケンヂとその仲間が行ったものとされ、それを阻止した“ともだち”は救世主と崇められていた。高校生になったケンヂの姪･カンナは、そんな“ともだち”中心の国家に反抗し、問題児とみなされ、遂には“ともだちランド”での研修を命じられることになり…。,"アドベンチャー,ヒューマンドラマ,サスペンス／ミステリー"
全員、片想い,かつて人気グループのボーカリストだった三崎透 (加藤雅也) は、自身の番組でリスナーから募った片想いエピソードを、7週連続で紹介するという特集企画をスタートさせる。それは…「全員、片想い」。主演キャスト14人が織り成す、映画史上最も切ない“片想い”ラブストーリー!,恋愛
星を追う子ども,ある日、少女アスナは、地下世界アガルタから来たという少年シュンに出会う。二人は心を通わせるも、少年は突然姿を消してしまう。「もう一度あの人に会いたい」そう願うアスナの前にシュンと瓜二つの少年シンと、アガルタを探す教師モリサキが現れる。三人はそれぞれの想いを胸に、伝説の地へ旅に出る…。,"アニメ,アドベンチャー,キッズ"
TOKYO TRIBE,WELCOME TO “TOKYO BATTLE PARK”!! 近未来のトーキョーでトライブ (族) たちの壮絶バトル勃発! トーキョーを制するのはどいつらだ!? オマエらの街、仲間、プライド、愛…。すべてをかけて、東京を奪い合え!!,アクション
渇き。,容姿端麗な優等生の娘･加奈子 (小松菜奈) が部屋に全てを残したまま失踪した。元･妻の依頼でその行方を追うことを請け負った元父親･藤島昭和 (役所広司)。家族が破綻した原因が自分の性格や行動であることには一切目もくれず、自分の“家族”像を取り戻すことだけを夢想し、なりふり構わず娘の行方を調査する。過去と現在の娘の交友関係や行動をたどりながらやがて、今まで知らなかった娘･加奈子の輪郭が徐々に浮かび上がっていく。果たして父は娘を見つけ出し、あの頃夢見た“幸せな家族”を取り戻すことができるのだろうか?,サスペンス／ミステリー
ホットロード,亡き父親の写真が1枚もない家でママと暮らす14歳の少女･宮市和希は、自分が望まれて生まれてきた子どもではないことに心を痛めている。ある日、学校に馴染めずにいた親友に誘われるまま、夜の湘南で出会ったのは、Nights (ナイツ) という不良チームの少年、春山洋志。はじめは傷つけ合っていたふたりだが、和希は春山が身を置く世界に安らぎや戸惑いを覚えながらも、急速に春山に惹かれてゆく。春山もまた和希の純粋さに惹かれるが、Nightsのリーダーとなったことで、敵対するチームとの抗争に巻き込まれてしまう――。,"恋愛,青春"
豪華3本立て! トミカプラレール映画まつり,日本を代表するおもちゃの1つである、トミカ･プラレールの初劇場版作品。「ようこそ! トミカ･プラレールタウン」「爆走トミカイザー スーパートミカイザーVSスーパーレールカイザー」、「トミカハイパーチーム 炎の共同作戦」の3つのストーリーを軸に、それぞれのお話の間には、バラエティコーナーとして、「大迫力! 実車のおもしろ対決」「家中にプラレールを走らせよう」などの夢の企画も映像化、チーミーの歌とダンスもあり、お楽しみいっぱい!,"キッズ,ファミリー"
青鬼 －アオオニ－,転校してきたシュン (須賀健太) はクラスになかなかなじめない。そんなシュンを杏奈 (入山杏奈) は気にかけていた。2人は、化け物が出るとうわさされる〈ジェイルハウス〉の前で同級生らと出会い、不気味な洋館へ足を踏み入れてしまう。閉じ込められた6人は窓の向こうから覗き込む、血走った目玉に遭遇し、脱出しようと躍起になるが、この世のものとは思えぬ巨大な青い影が忍び寄る。,ホラー
劇場版 ウルトラマンX きたぞ! われらのウルトラマン,太古の昔に地獄が封じられたと伝えられる芭羅慈 (バラジ) 遺跡―。その謎に挑んだ強欲な男･黒崎によって、その封印が破られてしまった! この世を地獄へと変える閻魔獣ザイゴーグの大復活! その恐るべき力の前に、我らがウルトラマンエックスの光が消えてしまう。地球はこのまま終わりを迎えてしまうのか…? Xio隊員たちは、考古学者･玉城ツカサと力を合わせ、決死の覚悟でザイゴーグ封印のカギとなる神秘の力を追う。絶望の中、ツカサの息子･ユウトの母への強い想いが奇跡を呼び―。参上! ウルトラマン、ウルトラマンティガ!! 結集したウルトラヒーローたちと力を合わせ、ザイゴーグと怪獣軍団に総力戦を挑むXio。死闘の火ぶたが、いま切られる!,"特撮,アクション,キッズ"
行って帰ってきた烈車戦隊トッキュウジャー 夢の超トッキュウ7号,ゼットとの決戦から10年後、シャドーラインがまさかの復活! 大人に成長したライトたちが立ち向かおうとするが、イマジネーションがなくなって変身できない!! 絶体絶命を迎えたその時! 5人は、なぜかタイムスリップして、自分たちが小学校を卒業する前日に到着する。そこには、明とともにトッキュウジャーの卒業式をしようとする、子どもの頃のライトたちの姿があった…。大人と子ども、それぞれのライトたちが辿り着いた、本当の終着駅とは!? 究極のイマジネーションで戦え! 烈車戦隊トッキュウジャー!!,"特撮,キッズ,アクション"
デメキン,幼少期からギョロっとした二重まぶただったためデメキンと呼ばれ、いじめられていた佐田正樹 (健太郎) は、ある日、“強くならなきゃ”と覚悟を決めて拳を握った。小学校からの親友･厚成 (山田裕貴) と喧嘩やバイクに明け暮れる日々を過ごす。中学卒業後、正樹は高校へ進学し、厚成はラーメン屋で働き始める。環境は変われど人は変わらず、年上の不良に目をつけられてはひたすら喧嘩ざんまいの日々を過ごしていた。ある日、バイク事故で死んだ憧れの暴走族の総長･真木 (柳俊太郎) のことを思い返していた厚成は正樹に福岡一のチームを作ろうと持ちかける。二人はチーム「亜鳳 (あほう)」を結成するが、次々と血気盛んな敵が待ち受けていて…。,"アクション,青春"
ちはやふる－下の句－,千早･太一･新は幼なじみ。いつも一緒にかるたで遊んでいたが、家の事情で新が引っ越し、はなればなれになってしまう。高校生になった千早は、新にもう一度会いたい一心で、再会した太一とともに瑞沢高校“競技かるた部”を作る。創部一年ながら、エース千早の活躍と抜群のチームワークを発揮し、東京都大会優勝をなしとげた。新に優勝を報告する千早に、思わぬ新の告白「かるたはもうやらん…」。ショックを受ける千早だが、全国大会へ向けて仲間たちと懸命に練習に励む。そんな中、千早は、同級生ながら最強のクイーンと呼ばれる若宮詩暢の存在を知る…。千早の気持ちは次第に詩暢にとらわれ、“競技かるた部”の仲間たちから離れていってしまう。そして、そんな千早の目を覚まさせようとする太一。千早、太一、新の気持ちが少しずつすれ違っていく…。,"青春,ヒューマンドラマ,スポーツ"
不機嫌な果実,主人公は、32歳の水越麻也子。2つ年上の夫と結婚して6年。夫とのセックスも満たされず、精彩を欠く日常に「私って、損してるかもしれない」という思いにとらわれている。そんな「不機嫌な」彼女が、自分の満たされぬものは「性というパーツ」だと考え、夫以外の2人の男との不倫を楽しみ始める…。,ヒューマンドラマ
映画 夜空はいつでも最高密度の青色だ,『舟を編む』の石井裕也監督映画。東京の片隅で、信じられるものを探しながら優しく生きようとする若い男女を描いた、最高密度の恋愛映画。原作は、現代詩集としては異例の売上げを記録している、最果タヒによる同名詩集。看護師として病院に勤務する美香 (石橋静河) は女子寮で一人暮らし。日々患者の死に囲まれる仕事と折り合いをつけながら、夜はガールズバーのアルバイト。作り笑いとため息。美香の孤独と虚しさは簡単に埋まるものではない。建設現場で日雇いとして働く慎二 (池松壮亮) は古いアパートで一人暮らし。年上の同僚･智之 (松田龍平) や中年の岩下 (田中哲司)、出稼ぎフィリピン人のアンドレス (ポール･マグサリン) と、何となくいつも一緒にいるが、漠然とした不安が慎二の胸から消えることはない。,恋愛
シュウカツ［就職活動］,密室の会議室で繰り広げられる究極の就職試験。面接官たちにより会議室に半ば監禁されながらも、内定を獲得しようともがく学生たちによる、インテリジェント･サバイバル･サスペンス。(第一話) 会議室で待ち受けていた面接官はカメラとテレビモニターだった!(第二話) 面接官が内定を決して辞退させないと学生を脅迫し、違法な誓約書にサインを強要する。(第三話) 最終試験の面接官たちは彼の身辺調査を徹底的に行い、プライベートにまで及ぶ辛辣な質問を投げかけるのだったが…。(第四話) 面接の控え室で出会った謎の学生は内定を獲得する為、ライバルの学生に揺さぶりをかけ、最後には驚くべき罠を仕掛けていた!,サスペンス／ミステリー
L change the WorLd,キラと呼ばれ、デスノートを使って犯罪者なき”新世界の神”になろうとした夜神月と、キラの正体を突き止め、事件を終わらせようとしていたL。2人の天才の熾烈を極めた攻防戦が最終局面を迎えようとしていた頃、タイで一つの村が消滅した。一体そこで何が起こったのか? そのときすでに、世界の崩壊にもつながる大事件が、Lの知らないところで動き出していた…。,"アクション,サスペンス／ミステリー,ヒューマンドラマ"
先輩と彼女,都築りか。高校1年生。野望は「甘い恋」。だけど好きになったのは他の女の人に恋をしている、みの先輩…。先輩が好き―。たとえ、あたしではない別の人を見つめていても。初めておぼえた嫉妬と絶望。そして先輩の選択は? どんなにどんなに想っても届かない、甘くて苦い青春の恋物語。,"恋愛,青春"
つやのよる ある愛に関わった、女たちの物語,愛を確かめる。愛を闘う。愛を待つ。愛を問い掛ける。愛に寄り添う。愛を包み込む。愛の為に生きる。こんなに愛されたら、しあわせ。わたしたちは知らなかった、男も女も生き方が変わる愛が存在することを。艶という謎の女が投じた小さな石が、大きな波を巻き起こす。心の奥底深くで気付くのは、本当の愛のありか。,"恋愛,ヒューマンドラマ"
仮面ライダーディケイド オールライダー対大ショッカー,平成、さらに昭和の仮面ライダーも大集結! その敵ショッカーが大ショッカーとして復活! 死神博士、地獄大使なども登場し夢のバトルが繰り広げられる。,"特撮,アクション,キッズ"
映画 ホタルノヒカリ,紆余 (うよ) 曲折を経て、同居人にして上司である高野部長 (藤木直人) と結婚した蛍 (綾瀬はるか)。心機一転、ステキ奥様をめざして奮闘する訳もなく、相変わらず自宅の縁側でゴロゴロと寝転がり“トド新妻”と化していたホタルが、新婚旅行でイタリアに行くことに。イタリア･ローマに飛び立った二人の前にイタリア版干物女とでもいうべき莉央 (松雪泰子) と弟の優 (手越祐也) が現れて、大騒動が巻き起こる!?,"恋愛,コメディ"
ガールズ&パンツァー 劇場版,学校の存続を懸けた第63回戦車道全国高校生大会を優勝で終え、平穏な日常が戻ってきた大洗女子学園。ある日、大洗町でエキシビションマッチが開催されることに。大洗女子学園と知波単学園の混成チームと対戦するのは、聖グロリアーナ女学院とプラウダ高校の混成チーム。今やすっかり大洗町の人気者となった大洗女子学園戦車道チームに、町民から熱い声援が送られた。戦いを通じて友情が芽生えた選手たち。試合が終われば一緒に温泉に浸かり、お喋りに華が咲く。そんな時、生徒会長の角谷杏が「急用」で学園艦に呼び戻される。いぶかしがる大洗女子のメンバーたち。果たして「急用」とは…? 大洗女子学園、決断の時―。新たな試合 (たたかい) が始まる!,"アニメ,アクション,青春"
呪怨,「リング」シリーズの高橋洋が「女優霊」「呪死霊」に次いで贈る究極の恐怖体験!【呪怨】とは「つよい怨みを抱いて死んだモノの呪い。それは、死んだモノが生前に接していた場所に蓄積され“業”となり、その呪いに触れたモノは命を失い、新たなる呪いが生まれる。」呪われた家から溢れ出す、九の連続した死。,ホラー
雲のむこう、約束の場所,南北に分断された日本。北海道に建設された謎の「塔」まで飛ぼうと約束したヒロキとタクヤ。それから三年後、ヒロキたちは憧れていた少女･サユリが眠り続けていることを知る。彼女を救おうと決意した二人は、思いもかけず「塔」とこの世界の秘密に近づいていく…。はたして、彼らは約束の場所に立つことができるのか!?,"アニメ,SF,青春"
謝罪の王様,架空の職業である「謝罪師」を生業とする黒島譲 (阿部サダヲ) が、ケンカの仲裁のような小さなトラブルから、政府を巻き込んだ国家存亡の危機まで、ひと癖もふた癖もある依頼人から舞い込む大小さまざまな事件に遭遇。降りかかる難問を次から次へと謝罪のテクニックを駆使して解決し、ついには土下座を超える「究極の謝罪」で謝る!,コメディ
MONSTERZ モンスターズ,ひと目見るだけで、すべての人間を思いどおりに〈操れる男〉と、唯一〈操れない男〉。対立する能力を持って生まれた宿命の二人が出会ってしまった時、生死を懸けた壮絶な闘いが幕を開ける―! 操れる男は、必要な時だけ力を発揮し、たった独りで静かに生きてきた。彼は絶望の闇に包まれた孤独な人生が、死ぬまで続くと思っていた。唯一操れない相手が目の前に現れるまでは―。彼の名は、田中終一。普通の青年にしか見えないが、彼もまた特別な能力を秘めていたのだが…。,"サスペンス／ミステリー,SF,アクション"
ぼくが処刑される未来,大学生の浅尾幸雄 (福士蒼汰) は突如光に包まれ、気がつくと取調室に拘束されていた。そこは25年後の未来で、25年後に5人もの命を奪った未来の自分の罪を被り処刑されるのだという。無実を確信する幸雄は、“ライズマン”(吉沢亮) に導かれて逃走を開始するが…。近づく公開処刑までのタイムリミットは72時間…。無実を証明し、はたして未来を変えられるのか?,"SF,サスペンス／ミステリー,アクション"
グリザイア：ファントムトリガー THE ANIMATION,“国の組織CIRS (サーズ)”によって新たに作られた、特殊技能訓練校「美浜学園」…様々な理由で行き場を失くした少女たちに与えられたのは、銃と実弾。拳銃を使用するレナ、狙撃を得意とするトーカ、爆弾と情報処理のクリス、諜報活動担当の忍者ムラサキ。彼女たちは、日々、SORD (ソード) のメンバーとして、警察や自衛隊には解決できない事件にあたり、危険な活動を繰り返す。,"アニメ,サスペンス／ミステリー"
君と100回目の恋,7月31日、誕生日の夜。ライブの帰り道に、大学生の葵海は事故にあってしまう。しかし、気が付くと葵海は教室にいた。日付は事故の1週間前―。動揺する葵海に、お互いに好きな想いをなかなか伝えられない幼なじみの陸が言う。「秘密を教える。俺、時間を戻せる。」葵海の運命を変えるため、陸は時間を遡れるレコードを使い、何度も時を戻していたのだ。「運命を変えられた。葵海はもう死なない。絶対に」想いが通じ合った二人は、恋人として日々をやり直すため1年前に戻る。周囲が羨むカップルとして幸せな日々を送る二人だったが、陸のタイムリープには葵海への一途な想いとともに重大な秘密が隠されていた―。,"恋愛,青春,ヒューマンドラマ"
劇場総集編3部作 コードギアス 反逆のルルーシュ,母を何者かに殺され、父である神聖ブリタニア帝国皇帝に国を追われた忘却の皇子、ルルーシュ。彼は神聖ブリタニア帝国に占領された日本―エリア11でその正体を隠しながら暮らしていた。母を死に至らしめ、妹ナナリーの目と足の自由を奪った神聖ブリタニア帝国の打倒。謎の美少女C.C.から絶対遵守の力･ギアスを授けられた時、ルルーシュの野望が実現へと向けて動き出す―。,"アニメ,SF,アクション"
劇場版MAJOR／メジャー 友情の一球 (ウイニングショット),吾郎は名門、横浜リトルとの激闘を制し、父となった茂野、桃子とともに新天地の福岡へ。そこで吾郎は、新たなチームメイトの古賀との対立や、新しい家族との関係に思い悩む…。そんな吾郎の前に立ちはだかる史上最強のライバル、アーサーとマックス! 果たして吾郎は全国大会へ進むことができるのか!? 原作でもTVアニメでも語られなかった、感動のストーリーが、今よみがえる!,"アニメ,スポーツ,キッズ"
イニシエーション･ラブ,【Side-A】1980年代後半、バブル最盛期の静岡。就職活動中の大学生･鈴木は、友人に誘われ気乗りしないまま、合コンに参加。しかし、その席で、歯科助手のマユと運命的な出会いを果たす。奥手で恋愛経験がなかった鈴木だが、マユと出会って変わっていく。流行のヘアスタイル、オシャレな洋服、マユに釣り合う男性になろうと自分を磨く鈴木だったが…。【Side-B】二人だけの甘い時間も束の間、就職した鈴木は東京本社へ転勤となり、静岡にマユを置いて上京することに。それでも距離は二人の愛にとって障害にならないと、週末ごとに東京と静岡を行き来する鈴木。しかし、東京本社の同僚･美弥子との出会いを経て、心が揺れ始める…。,"恋愛,サスペンス／ミステリー"
3月のライオン［前編］,中学生でプロ棋士としてデビューした桐山零は、東京の下町に一人で暮らしている。幼い頃に交通事故で家族を失い、父の友人である棋士の幸田に引き取られたが、自分のせいで幸田家に亀裂が入り、家を出るしかなかったからだ。深い孤独を抱えてすがりつくように将棋を指し続けていたある日、零は近隣の町に住む川本家の3姉妹と出会い、彼女たちとのにぎやかな食卓に居場所を見出していく。温かな支えを胸に、闘いへと飛び込む零。若手NO.1を決める新人戦、最高峰を決める師子王戦― それは、様々な人生を背負った棋士たちが、頭脳と肉体と精神のすべてを賭ける壮絶な闘いだった。,"青春,ヒューマンドラマ"
映画 それいけ! アンパンマン キラキラ星の涙,アンパンマンに助けられた乗組員、キラキラ星のマルデ･ヘンダーは、ナンダ･ナンダー姫といっしょに「キラキラの涙」という宝石を探しているらしいのですが…。,"キッズ,アニメ,ファミリー"
吉原炎上,江戸から明治の終わりまで、絢爛と花咲いた遊興の場所「吉原」。現代人の興味を惹きつけてやまない、贅をつくした《吉原遊廓》とは、いったい何だったのだろうか。吉原遊廓が最も華やかだった明治末期を舞台に、そこに生きた様々な女たちの姿を華麗な映像美で五社英雄監督が鮮烈に描き出す。,ヒューマンドラマ
高校デビュー,中学時代、部活一筋ですごした熱血女子･長嶋晴菜 (大野いと) は、ひとつ心に決めていた。「高校生活は、恋に全てを捧げよう!」異常なほどの恋愛モチベーションの高さとはうらはらに、半年経ってもまったく彼氏ができる気配すらない晴菜。そんな彼女の前に、校内イチ人気の先輩･小宮山ヨウ (溝端淳平) が現れる。直感的に晴菜はヨウに「モテコーチ」を依頼。はじめは断り続けたヨウも、どこかズレてる晴菜の一生懸命さに根負けし、ある条件のもとコーチを引き受けることに。「俺のこと、絶対に好きになるな。なったらすぐコーチは終了」ヨウの指導のもと、理想の「恋」を求め、しだいに変わっていく晴菜。しかしやがて、クールなヨウが時折みせる優しさに、晴菜は思いがけず惹かれていくのだが…。,"コメディ,恋愛,青春"
劇場版 MOZU,妻子の死の謎を追う公安警察官 倉木 (西島秀俊) は、大杉 (香川照之)、明星 (真木よう子) とともに一連の『MOZU事件』で警察内部に巣食う闇を白日のもとに晒した。しかしそれは、恐るべき謀略の氷山の一角に過ぎなかったのだ。それから…。高層ビル占拠爆破とペナム大使館襲撃、二つの大規模テロが同時発生した。これらの事件は犯罪プランナー高柳 (伊勢谷友介) と実行部隊を率いる殺し屋･権藤 (松坂桃李) を中心とするテログループによる犯行であった。彼らは、日本犯罪史の重大事件を影で操ってきた存在「ダルマ」(ビートたけし) の名のもとに、ある犯罪計画を極秘裏に進行していたのだ。灼熱の地･ペナム共和国を舞台に、事件の真相を追う倉木達と、最後の敵･ダルマとの死闘がついに幕を開ける!,"サスペンス／ミステリー,アクション"
勝手にふるえてろ,24歳のOLヨシカは中学の同級生“イチ”へ10年間片思い中! 過去のイチとの思い出を召喚したり、趣味である絶滅した動物について夜通し調べたり、博物館からアンモナイトを払い下げてもらったりと、1人忙しい毎日。そんなヨシカの前へ会社の同期で熱烈に愛してくれる“リアル恋愛”の彼氏“ニ”が突如現れた!!「人生初告られた!」とテンションがあがるも、いまいちニとの関係に乗り切れないヨシカ。“脳内片思い”と“リアル恋愛”の2人の彼氏、理想と現実、どちらも欲しいし、どっちも欲しくない…恋愛に臆病で、片思い経験しかないヨシカが、もがき、苦しみながら本当の自分を解き放つ!!,"コメディ,恋愛,青春"
