タイトル,あらすじ,ジャンル
アリーキャット,1匹の猫が縁で出会った元プロボクサーと自動車整備工が、ストーカー被害に悩む女を守るため大都会東京へ。だがそこで、女の危険な過去が明らかになり...。,犯罪サスペンス
キセキ -あの日のソビト-,厳格な父に背いて音楽の世界に進んだ兄と、父の想いを受け歯医者を目指す弟。夢半ばで挫折を味わった兄は、音楽に目覚めた弟の才能に新たな希望を見い出すが…。,実話に基づくヒューマンドラマ
劇場版総集編 白鳥沢学園高校戦『ハイキュー!! コンセプトの戦い』,春の高校バレー宮城県予選、決勝戦進出を果たした烏野高校排球部。宮城県の絶対王者と名高い白鳥沢学園高校を相手に、春高出場をかけた激戦に真っ向からいどむ。,ドラマアニメ
LUPIN THE IIIRD 血煙の石川五エ門,"鉄竜会組長の用心棒をしていた石川五ェ門が、かつてない危険な敵と対峙する。それは斧を武器に使う大男、""バミューダの亡霊""と呼ばれる殺戮の兵士だった!",国内アクション・アドベンチャー
ユリゴコロ,次々と不幸に見舞われた亮介は、実家で1冊のノートを見つける。そこに書かれていたのは、ある女による殺人の記録。亮介は、この手記に不思議と心引かれてゆく。,ミステリー
勝手にふるえてろ,"変わり者の24歳・ヨシカは、中学生の頃から同級生の""イチ""に片思いをしている。ある日、会社の同僚""ニ""から告白されるが、イチとの再会のチャンスが訪れ...。",ラブロマンス
ママは日本へ嫁に行っちゃダメと言うけれど。,SNSを通じて出会い、心を通わせる台湾の女子大生と日本人の青年。思いは海を越え、2人は距離を縮めてゆくのだが、2人の恋に思いもよらない障害が立ちはだかる。,ラブロマンス
光,恐ろしい罪を犯してしまった子どもたち。永遠にしるされた汚点は25年後、思わぬ形で広がりを見せ、彼らを容赦なく襲う。見ないふりをしてきた暴力が越流する。,犯罪サスペンス
劇場版 魔法科高校の劣等生 星を呼ぶ少女,春休みに小笠原諸島で羽を伸ばしていた深雪と達也たちが出会ったのは、謎に満ちた不思議な少女。達也にある願いを告げる彼女は、大きな陰謀の鍵とされていた。,国内アクション・アドベンチャー
あゝ、荒野　前篇,少年院から出たばかりの新次は昔の仲間から手荒い扱いを受ける。そんな新次を助けたのは吃音症の青年、建二。非情な世界でさまよう2人を描く、2部作の前編。,高い評価を得た映画
映画プリキュアドリームスターズ!,別の世界からきた少女サクラに助けを求められたプリキュア。からすてんぐに連れ去られたキツネのシズクを救うため、プリキュアたちはいざサクラの世界へ...!,アニメ
破裏拳ポリマー,警視庁と防衛省が極秘裏に開発した3体の特殊装甲スーツが盗まれ、悪の手に落ちた。最強拳法を極めし探偵は正義のために立ち上がり、悪と戦うヒーローとなる!,国内アクション・アドベンチャー
サクラダリセット 前篇,記憶を保持する能力を持つ高校生のケイと、世界を最大で3日分巻き戻す能力を持つ春埼。2人は能力を駆使し、2年前に死んだ同級生の相麻を再生しようとする。,ファンタジー
夜明け告げるルーのうた,寂れた漁港の町で鬱屈した日々を送る中学生のカイ。その運命を変えたのは、人魚の少女ルーとの出会いだった。2人のきずなが紡ぎだすフシギで切ないひと夏の物語。,ドラマアニメ
仮面ライダー×スーパー戦隊 超スーパーヒーロー大戦,ゲームの世界から現れた敵が世界の平和をおびやかす。仮想世界に飛びこんだスーパー戦隊と仮面ライダーたちを待ち受けていたのは、前代未聞の究極バトル!,キッズ・ファミリー映画
劇場版 仮面ライダーエグゼイド トゥルー・エンディング,現実世界を滅ぼして仮想現実で人々を支配しようと企む忍者軍団が突如として現れ、新型ウイルスをまき散らした。世界を救うために戦え! 仮面ライダーエグゼイド!,キッズ・ファミリー映画
劇場版総集編 青葉城西高校戦『ハイキュー!! 才能とセンス』,春高予選準決勝。合同合宿で進化した烏野高校排球部の対戦相手は、因ねんの青葉城西高校。烏野は出だしから激しくせめるが、流れは青城にかたむき始め...。,ドラマアニメ
FAKE ディレクターズ・カット版,耳の聞こえない天才作曲家としてもてはやされていた、佐村河内守。彼の全ては、本当に作り話だったのか? この複雑な事態の答えを探すため、新たな事実に迫る。,国内映画
トモダチゲーム 劇場版 FINAL,"友一と仲間達が引きずり込まれた過酷な""トモダチゲーム""も、いよいよ最終ゲームへ。友一達は、危険だらけの最後の試練、""友情かくれんぼ""を突破できるのか?",国内サスペンス
